Aux out [V]	Aux in [V]	PDH out [a.u.]
-4.3713E-1	5.5945E-1	-6.7100E+2
-4.3631E-1	5.6504E-1	-1.0790E+3
-4.3549E-1	5.6990E-1	-1.2330E+3
-4.3466E-1	5.7476E-1	-1.3180E+3
-4.3372E-1	5.8010E-1	-8.0800E+2
-4.3290E-1	5.8399E-1	-1.6550E+3
-4.3207E-1	5.8666E-1	-1.1670E+3
-4.3113E-1	5.9273E-1	-1.3630E+3
-4.3031E-1	5.9832E-1	-1.3910E+3
-4.2937E-1	6.0002E-1	-1.2630E+3
-4.2854E-1	6.0585E-1	-8.5300E+2
-4.2772E-1	6.0974E-1	-9.9900E+2
-4.2690E-1	6.1411E-1	-1.4780E+3
-4.2607E-1	6.1897E-1	-9.1100E+2
-4.2513E-1	6.2358E-1	-9.4700E+2
-4.2431E-1	6.2796E-1	-9.8800E+2
-4.2348E-1	6.3209E-1	-7.8900E+2
-4.2266E-1	6.3670E-1	-1.5100E+3
-4.2184E-1	6.3986E-1	-9.3000E+2
-4.2090E-1	6.4545E-1	-6.0500E+2
-4.2007E-1	6.4934E-1	-1.6000E+3
-4.1925E-1	6.5201E-1	-1.0100E+3
-4.1843E-1	6.5662E-1	-1.3670E+3
-4.1760E-1	6.5832E-1	-1.4120E+3
-4.1666E-1	6.6343E-1	-8.0300E+2
-4.1584E-1	6.6513E-1	-9.3400E+2
-4.1501E-1	6.6901E-1	-1.2990E+3
-4.1407E-1	6.7193E-1	-9.6700E+2
-4.1325E-1	6.7436E-1	-1.0930E+3
-4.1242E-1	6.7897E-1	-5.3100E+2
-4.1148E-1	6.8310E-1	-8.1700E+2
-4.1066E-1	6.8383E-1	-1.2920E+3
-4.0984E-1	6.8748E-1	-8.5600E+2
-4.0901E-1	6.9063E-1	-6.3100E+2
-4.0819E-1	6.9258E-1	-1.3870E+3
-4.0725E-1	6.9622E-1	-1.1450E+3
-4.0642E-1	6.9817E-1	-1.0540E+3
-4.0560E-1	7.0084E-1	-4.9600E+2
-4.0478E-1	7.0351E-1	-5.8700E+2
-4.0395E-1	7.0448E-1	-1.6730E+3
-4.0301E-1	7.0861E-1	-9.8800E+2
-4.0219E-1	7.1055E-1	-9.4300E+2
-4.0137E-1	7.1177E-1	-4.9000E+2
-4.0054E-1	7.1396E-1	-7.9200E+2
-3.9972E-1	7.1711E-1	-9.7800E+2
-3.9878E-1	7.1760E-1	-9.5700E+2
-3.9784E-1	7.2076E-1	-7.2400E+2
-3.9701E-1	7.2100E-1	-6.0900E+2
-3.9619E-1	7.2367E-1	-4.9200E+2
-3.9536E-1	7.2635E-1	-1.0170E+3
-3.9442E-1	7.2756E-1	-9.6800E+2
-3.9360E-1	7.2975E-1	-3.1500E+2
-3.9278E-1	7.3120E-1	-3.1500E+2
-3.9195E-1	7.3388E-1	-6.2100E+2
-3.9113E-1	7.3363E-1	-4.7300E+2
-3.9031E-1	7.3412E-1	-1.0280E+3
-3.8936E-1	7.3606E-1	-6.3900E+2
-3.8854E-1	7.3849E-1	-2.3700E+2
-3.8772E-1	7.4019E-1	-7.2100E+2
-3.8689E-1	7.4019E-1	-5.2200E+2
-3.8607E-1	7.4092E-1	-1.2000E+1
-3.8513E-1	7.4165E-1	-1.2520E+3
-3.8430E-1	7.4384E-1	-6.6900E+2
-3.8348E-1	7.4481E-1	-5.2800E+2
-3.8254E-1	7.4529E-1	-3.1200E+2
-3.8172E-1	7.4675E-1	-5.6100E+2
-3.8078E-1	7.4699E-1	-6.2100E+2
-3.7995E-1	7.4772E-1	-7.5800E+2
-3.7913E-1	7.5064E-1	-4.1400E+2
-3.7830E-1	7.5015E-1	-5.9100E+2
-3.7748E-1	7.5185E-1	-3.9100E+2
-3.7654E-1	7.5185E-1	-5.1700E+2
-3.7572E-1	7.5258E-1	-7.5400E+2
-3.7489E-1	7.5307E-1	-1.9900E+2
-3.7407E-1	7.5453E-1	-8.2700E+2
-3.7325E-1	7.5428E-1	-3.6600E+2
-3.7230E-1	7.5525E-1	1.0900E+2
-3.7148E-1	7.5550E-1	-1.0470E+3
-3.7066E-1	7.5525E-1	-3.9000E+2
-3.6983E-1	7.5696E-1	-6.5500E+2
-3.6901E-1	7.5744E-1	-8.4800E+2
-3.6807E-1	7.5768E-1	-8.0800E+2
-3.6724E-1	7.5841E-1	-1.2470E+3
-3.6630E-1	7.5817E-1	-3.8100E+2
