Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.7576E-2	6.5662E-1	7.5300E+2
-7.7223E-2	6.5662E-1	3.3700E+2
-7.6988E-2	6.5371E-1	7.9700E+2
-7.6752E-2	6.5128E-1	5.1800E+2
-7.6517E-2	6.5274E-1	2.9700E+2
-7.6282E-2	6.5201E-1	6.6800E+2
-7.6047E-2	6.5274E-1	4.0800E+2
-7.5694E-2	6.5055E-1	5.3700E+2
-7.5458E-2	6.4836E-1	7.0200E+2
-7.5223E-2	6.4764E-1	6.2300E+2
-7.4988E-2	6.4666E-1	7.6600E+2
-7.4752E-2	6.4642E-1	1.0990E+3
-7.4517E-2	6.4472E-1	7.9500E+2
-7.4282E-2	6.4472E-1	4.1200E+2
-7.3929E-2	6.4399E-1	8.5900E+2
-7.3693E-2	6.4229E-1	9.5300E+2
-7.3458E-2	6.4229E-1	6.5400E+2
-7.3223E-2	6.4132E-1	9.7500E+2
-7.2988E-2	6.3962E-1	7.3500E+2
-7.2752E-2	6.3913E-1	4.2100E+2
-7.2517E-2	6.3816E-1	1.2890E+3
-7.2164E-2	6.3792E-1	5.7700E+2
-7.1929E-2	6.3597E-1	1.0180E+3
-7.1693E-2	6.3549E-1	6.3000E+2
-7.1458E-2	6.3525E-1	9.1900E+2
-7.1223E-2	6.3282E-1	4.6500E+2
-7.0987E-2	6.3306E-1	6.8400E+2
-7.0752E-2	6.3282E-1	7.0700E+2
-7.0399E-2	6.3087E-1	2.8400E+2
-7.0164E-2	6.2990E-1	7.0200E+2
-6.9928E-2	6.2869E-1	9.5000E+2
-6.9693E-2	6.2844E-1	1.2490E+3
-6.9458E-2	6.2650E-1	1.3040E+3
-6.9223E-2	6.2504E-1	1.2640E+3
-6.8870E-2	6.2480E-1	6.6300E+2
-6.8634E-2	6.2529E-1	7.3900E+2
-6.8399E-2	6.2286E-1	7.9500E+2
-6.8164E-2	6.2237E-1	8.7200E+2
-6.7928E-2	6.2018E-1	1.1250E+3
-6.7693E-2	6.2018E-1	1.2340E+3
-6.7458E-2	6.1921E-1	8.9700E+2
-6.7222E-2	6.1970E-1	1.2800E+3
-6.6869E-2	6.1751E-1	9.5700E+2
-6.6634E-2	6.1727E-1	9.5800E+2
-6.6399E-2	6.1581E-1	1.3930E+3
-6.6163E-2	6.1362E-1	9.1300E+2
-6.5928E-2	6.1192E-1	8.8400E+2
-6.5693E-2	6.1217E-1	1.1180E+3
-6.5458E-2	6.1095E-1	7.8200E+2
-6.5105E-2	6.1095E-1	1.1560E+3
-6.4869E-2	6.0974E-1	4.9400E+2
-6.4634E-2	6.0901E-1	1.1520E+3
-6.4399E-2	6.0755E-1	9.9000E+2
-6.4163E-2	6.0658E-1	9.4300E+2
-6.3928E-2	6.0658E-1	1.5600E+3
-6.3575E-2	6.0512E-1	1.0950E+3
-6.3340E-2	6.0342E-1	1.2840E+3
-6.3104E-2	6.0172E-1	1.2820E+3
-6.2869E-2	6.0124E-1	9.3400E+2
-6.2634E-2	6.0051E-1	1.0230E+3
-6.2398E-2	5.9832E-1	1.5430E+3
-6.2163E-2	5.9759E-1	9.8900E+2
-6.1810E-2	5.9662E-1	7.3200E+2
-6.1575E-2	5.9419E-1	1.1280E+3
-6.1340E-2	5.9492E-1	3.4200E+2
-6.1104E-2	5.9492E-1	1.0590E+3
-6.0869E-2	5.9346E-1	1.1600E+3
-6.0634E-2	5.9346E-1	9.9100E+2
-6.0398E-2	5.9127E-1	4.4500E+2
-6.0163E-2	5.8933E-1	3.6700E+2
-5.9810E-2	5.8885E-1	8.8500E+2
-5.9575E-2	5.8642E-1	1.3250E+3
-5.9339E-2	5.8714E-1	8.9200E+2
-5.9104E-2	5.8593E-1	1.2690E+3
-5.8869E-2	5.8472E-1	4.1300E+2
-5.8516E-2	5.8496E-1	1.1740E+3
-5.8281E-2	5.8204E-1	1.3820E+3
-5.8045E-2	5.8010E-1	6.6000E+2
-5.7810E-2	5.8034E-1	1.4220E+3
-5.7575E-2	5.7913E-1	1.0020E+3
-5.7339E-2	5.7767E-1	1.5420E+3
-5.7104E-2	5.7816E-1	1.2210E+3
-5.6751E-2	5.7646E-1	9.9000E+2
-5.6516E-2	5.7718E-1	6.0900E+2
-5.6280E-2	5.7476E-1	5.7700E+2
-5.6045E-2	5.7330E-1	1.5370E+3
-5.5810E-2	5.7184E-1	1.1980E+3
-5.5574E-2	5.7135E-1	1.2740E+3
-5.5339E-2	5.7208E-1	1.4210E+3
-5.5104E-2	5.6893E-1	1.2980E+3
-5.4751E-2	5.6844E-1	8.0300E+2
-5.4516E-2	5.6771E-1	1.4060E+3
-5.4280E-2	5.6552E-1	2.3700E+2
-5.4045E-2	5.6504E-1	4.7100E+2
-5.3810E-2	5.6309E-1	9.6600E+2
-5.3574E-2	5.6261E-1	3.8300E+2
-5.3221E-2	5.6212E-1	6.5300E+2
-5.2986E-2	5.6237E-1	7.8900E+2
-5.2751E-2	5.5921E-1	9.4000E+2
-5.2515E-2	5.6018E-1	6.3600E+2
-5.2280E-2	5.5654E-1	1.1030E+3
-5.2045E-2	5.5605E-1	7.2800E+2
-5.1809E-2	5.5483E-1	1.4340E+3
-5.1456E-2	5.5435E-1	1.3100E+3
-5.1221E-2	5.5313E-1	1.0660E+3
-5.0986E-2	5.5216E-1	1.2750E+3
-5.0751E-2	5.5095E-1	1.1890E+3
-5.0515E-2	5.4900E-1	4.8900E+2
-5.0280E-2	5.4876E-1	9.0600E+2
-5.0045E-2	5.4658E-1	9.2100E+2
-4.9692E-2	5.4560E-1	9.7400E+2
-4.9456E-2	5.4730E-1	1.3000E+3
-4.9221E-2	5.4439E-1	6.1900E+2
-4.8986E-2	5.4439E-1	1.0180E+3
-4.8750E-2	5.4245E-1	1.2300E+3
-4.8515E-2	5.4245E-1	6.7600E+2
-4.8280E-2	5.4147E-1	6.8800E+2
-4.7927E-2	5.4026E-1	1.5860E+3
-4.7691E-2	5.3904E-1	1.2360E+3
-4.7456E-2	5.3929E-1	9.8700E+2
-4.7221E-2	5.3759E-1	1.0460E+3
-4.6986E-2	5.3443E-1	1.1180E+3
-4.6750E-2	5.3491E-1	2.3400E+2
-4.6397E-2	5.3394E-1	1.5550E+3
-4.6162E-2	5.3273E-1	1.3340E+3
-4.5927E-2	5.3273E-1	1.3160E+3
-4.5691E-2	5.3127E-1	1.9930E+3
-4.5456E-2	5.2884E-1	1.4220E+3
-4.5221E-2	5.2981E-1	1.4260E+3
-4.4985E-2	5.2690E-1	9.6500E+2
-4.4632E-2	5.2544E-1	1.1560E+3
-4.4397E-2	5.2471E-1	1.1960E+3
-4.4162E-2	5.2423E-1	1.0220E+3
-4.3927E-2	5.2350E-1	9.5600E+2
-4.3691E-2	5.2252E-1	1.8390E+3
-4.3456E-2	5.2180E-1	1.4290E+3
-4.3221E-2	5.2034E-1	8.2300E+2
-4.2868E-2	5.1791E-1	1.2860E+3
-4.2632E-2	5.1694E-1	1.5170E+3
-4.2397E-2	5.1888E-1	5.4800E+2
-4.2162E-2	5.1718E-1	1.0430E+3
-4.1926E-2	5.1597E-1	1.0370E+3
-4.1691E-2	5.1548E-1	1.2950E+3
-4.1338E-2	5.1354E-1	1.3310E+3
-4.1103E-2	5.1135E-1	1.5080E+3
-4.0867E-2	5.1232E-1	1.0690E+3
-4.0632E-2	5.1208E-1	1.3490E+3
-4.0397E-2	5.1014E-1	1.6820E+3
-4.0162E-2	5.0916E-1	1.1800E+3
-3.9926E-2	5.0819E-1	1.4430E+3
-3.9691E-2	5.0698E-1	1.6380E+3
-3.9338E-2	5.0601E-1	6.3800E+2
-3.9103E-2	5.0382E-1	1.3690E+3
-3.8867E-2	5.0260E-1	1.2450E+3
-3.8632E-2	5.0236E-1	1.0040E+3
-3.8397E-2	5.0115E-1	1.1920E+3
-3.8161E-2	5.0090E-1	9.3200E+2
