Aux out [V]	Aux in [V]	PDH out [a.u.]
4.5152E-1	6.5031E-1	-6.7700E+2
4.5164E-1	6.5031E-1	-8.1600E+2
4.5176E-1	6.5201E-1	-4.9700E+2
4.5176E-1	6.5104E-1	-8.5000E+2
4.5188E-1	6.4982E-1	-1.1470E+3
4.5199E-1	6.5152E-1	-5.5500E+2
4.5199E-1	6.5006E-1	-6.3700E+2
4.5211E-1	6.5006E-1	3.3000E+1
4.5223E-1	6.5104E-1	-9.3600E+2
4.5223E-1	6.5249E-1	8.6000E+1
4.5235E-1	6.5225E-1	-3.9100E+2
4.5246E-1	6.5468E-1	1.1000E+1
4.5258E-1	6.5152E-1	-4.5900E+2
4.5258E-1	6.5274E-1	-2.1200E+2
4.5270E-1	6.5079E-1	-8.4500E+2
4.5282E-1	6.5274E-1	-2.9600E+2
4.5282E-1	6.5274E-1	-7.3100E+2
4.5293E-1	6.5104E-1	-5.3800E+2
4.5305E-1	6.5177E-1	-1.6900E+2
4.5305E-1	6.5298E-1	-1.7100E+2
4.5317E-1	6.5006E-1	-2.4900E+2
4.5329E-1	6.5152E-1	-8.5600E+2
4.5329E-1	6.5177E-1	5.4000E+1
4.5340E-1	6.5152E-1	4.7100E+2
4.5352E-1	6.5079E-1	7.9200E+2
4.5364E-1	6.4982E-1	4.6600E+2
4.5364E-1	6.4934E-1	4.4000E+2
4.5376E-1	6.4934E-1	6.5200E+2
4.5388E-1	6.4958E-1	1.3800E+2
4.5388E-1	6.5079E-1	1.0800E+2
4.5399E-1	6.5079E-1	-8.6000E+1
4.5411E-1	6.4836E-1	-2.0100E+2
4.5423E-1	6.4909E-1	3.7100E+2
4.5423E-1	6.4788E-1	1.2000E+1
4.5435E-1	6.4788E-1	6.0000E+1
4.5446E-1	6.4909E-1	-2.3200E+2
4.5446E-1	6.4691E-1	3.2100E+2
4.5458E-1	6.4909E-1	-3.0200E+2
4.5470E-1	6.4569E-1	-4.8600E+2
4.5470E-1	6.4934E-1	-3.8400E+2
4.5482E-1	6.4666E-1	7.8000E+1
4.5493E-1	6.4715E-1	1.7300E+2
4.5505E-1	6.4739E-1	-4.7800E+2
4.5505E-1	6.4764E-1	-8.4000E+1
4.5517E-1	6.4715E-1	3.7200E+2
4.5529E-1	6.4593E-1	-4.5300E+2
4.5529E-1	6.4715E-1	7.1000E+1
4.5540E-1	6.4666E-1	-2.0500E+2
4.5552E-1	6.4593E-1	-6.6100E+2
4.5552E-1	6.4715E-1	2.2500E+2
4.5564E-1	6.4521E-1	-2.4800E+2
4.5576E-1	6.4472E-1	-1.7900E+2
4.5588E-1	6.4593E-1	-4.8300E+2
4.5588E-1	6.4691E-1	2.7000E+2
4.5599E-1	6.4569E-1	-8.4000E+1
4.5611E-1	6.4691E-1	-8.0900E+2
4.5611E-1	6.4618E-1	-3.2800E+2
4.5623E-1	6.4496E-1	-1.5300E+2
4.5635E-1	6.4448E-1	-2.9400E+2
4.5646E-1	6.4448E-1	2.2300E+2
4.5646E-1	6.4545E-1	-3.8700E+2
4.5658E-1	6.4642E-1	-4.9300E+2
4.5670E-1	6.4715E-1	-2.6500E+2
4.5670E-1	6.4666E-1	-1.4900E+2
4.5682E-1	6.4496E-1	-4.0000E+2
4.5693E-1	6.4521E-1	-7.0200E+2
4.5693E-1	6.4642E-1	5.5000E+1
4.5705E-1	6.4666E-1	-4.4000E+1
4.5717E-1	6.4521E-1	-2.5300E+2
4.5717E-1	6.4618E-1	-2.5400E+2
4.5729E-1	6.4496E-1	-4.8000E+1
4.5741E-1	6.4496E-1	1.0300E+2
4.5752E-1	6.4691E-1	-2.5200E+2
4.5752E-1	6.4545E-1	-3.1000E+1
4.5764E-1	6.4666E-1	-5.8200E+2
4.5776E-1	6.4666E-1	-2.3400E+2
4.5776E-1	6.4618E-1	-4.7300E+2
4.5788E-1	6.4715E-1	-2.0100E+2
4.5799E-1	6.4569E-1	-1.1400E+2
4.5799E-1	6.4496E-1	-2.1300E+2
4.5811E-1	6.4521E-1	6.2800E+2
4.5823E-1	6.4569E-1	-5.9000E+2
4.5835E-1	6.4496E-1	-5.4800E+2
4.5835E-1	6.4691E-1	-3.9200E+2
4.5846E-1	6.4618E-1	-2.2000E+2
4.5858E-1	6.4739E-1	-6.1000E+1
4.5858E-1	6.4739E-1	-6.5800E+2
4.5870E-1	6.4691E-1	-2.3200E+2
4.5882E-1	6.4618E-1	-1.2900E+2
4.5893E-1	6.4642E-1	-6.7000E+2
4.5893E-1	6.4788E-1	-1.0840E+3
4.5905E-1	6.4836E-1	-1.3600E+2
4.5917E-1	6.4739E-1	-5.8000E+2
4.5917E-1	6.4739E-1	-5.3100E+2
4.5929E-1	6.4836E-1	-2.3300E+2
4.5941E-1	6.4812E-1	-6.6000E+2
4.5941E-1	6.4691E-1	-4.7500E+2
4.5952E-1	6.4885E-1	-8.0800E+2
4.5964E-1	6.4545E-1	-2.9000E+1
4.5976E-1	6.5031E-1	-5.1100E+2
4.5976E-1	6.5055E-1	-1.0080E+3
4.5988E-1	6.4909E-1	-8.1800E+2
4.5999E-1	6.4715E-1	-7.9100E+2
4.5999E-1	6.4958E-1	-2.1400E+2
4.6011E-1	6.5006E-1	-1.3060E+3
4.6023E-1	6.4982E-1	-6.5000E+2
4.6035E-1	6.4909E-1	-1.1500E+3
4.6035E-1	6.5128E-1	-5.2300E+2
4.6046E-1	6.4958E-1	-8.4700E+2
4.6058E-1	6.4788E-1	-5.1800E+2
4.6058E-1	6.4982E-1	-3.1200E+2
4.6070E-1	6.5079E-1	-7.5100E+2
4.6082E-1	6.5079E-1	-4.7300E+2
4.6082E-1	6.5249E-1	-3.8900E+2
4.6093E-1	6.5104E-1	-3.2900E+2
4.6105E-1	6.4982E-1	-6.2500E+2
4.6117E-1	6.5152E-1	-4.6900E+2
4.6117E-1	6.5079E-1	-1.1300E+2
4.6129E-1	6.5104E-1	-1.3300E+2
4.6141E-1	6.5104E-1	-2.4500E+2
4.6141E-1	6.5225E-1	1.5400E+2
4.6152E-1	6.5152E-1	6.6700E+2
4.6164E-1	6.5079E-1	-6.4000E+1
4.6164E-1	6.5031E-1	4.9700E+2
4.6176E-1	6.5031E-1	7.3000E+1
4.6188E-1	6.5031E-1	3.7200E+2
4.6188E-1	6.5006E-1	1.2400E+2
4.6199E-1	6.4861E-1	4.0000E+2
4.6211E-1	6.4885E-1	2.4000E+2
4.6223E-1	6.4764E-1	-5.3000E+1
4.6223E-1	6.4982E-1	3.9800E+2
4.6235E-1	6.4764E-1	8.2000E+1
4.6246E-1	6.4958E-1	-2.0000E+0
4.6246E-1	6.4739E-1	2.6900E+2
4.6258E-1	6.4909E-1	1.5400E+2
4.6270E-1	6.4885E-1	1.9900E+2
4.6282E-1	6.4642E-1	-7.4000E+1
4.6282E-1	6.4788E-1	-3.0900E+2
4.6293E-1	6.4593E-1	-1.0200E+2
