Aux out [V]	Aux in [V]	PDH out [a.u.]
3.8528E-1	7.2513E-1	5.5800E+2
3.8552E-1	7.2586E-1	-7.1100E+2
3.8587E-1	7.2465E-1	-8.6000E+2
3.8611E-1	7.2489E-1	4.0000E+1
3.8634E-1	7.2440E-1	-5.5500E+2
3.8669E-1	7.2440E-1	-2.7700E+2
3.8693E-1	7.2416E-1	-4.9700E+2
3.8728E-1	7.2367E-1	4.5000E+1
3.8752E-1	7.2270E-1	-6.3000E+1
3.8775E-1	7.2392E-1	-2.0200E+2
3.8811E-1	7.2246E-1	-4.1300E+2
3.8834E-1	7.2197E-1	-2.3100E+2
3.8869E-1	7.1979E-1	-4.0000E+0
3.8893E-1	7.2124E-1	-2.3200E+2
3.8916E-1	7.2124E-1	-1.8700E+2
3.8952E-1	7.1979E-1	6.3000E+1
3.8975E-1	7.1954E-1	-1.3300E+2
3.9011E-1	7.1857E-1	-6.7700E+2
3.9034E-1	7.1857E-1	-3.1500E+2
3.9058E-1	7.1857E-1	-2.2000E+1
3.9093E-1	7.1954E-1	1.7200E+2
3.9116E-1	7.1954E-1	-2.6300E+2
3.9152E-1	7.1784E-1	4.0000E+0
3.9175E-1	7.1809E-1	-4.2300E+2
3.9199E-1	7.1760E-1	4.3400E+2
3.9234E-1	7.1663E-1	4.8400E+2
3.9258E-1	7.1736E-1	5.1000E+1
3.9293E-1	7.1639E-1	5.6000E+2
3.9317E-1	7.1590E-1	-3.6400E+2
3.9340E-1	7.1566E-1	2.4700E+2
3.9375E-1	7.1371E-1	-2.8500E+2
3.9399E-1	7.1614E-1	1.0700E+2
3.9422E-1	7.1250E-1	-3.0200E+2
3.9458E-1	7.1396E-1	-1.6200E+2
3.9481E-1	7.1250E-1	-4.0000E+0
3.9517E-1	7.1347E-1	7.0000E+1
3.9540E-1	7.1323E-1	-2.1800E+2
3.9564E-1	7.1128E-1	2.1500E+2
3.9599E-1	7.1323E-1	-6.5800E+2
3.9622E-1	7.1080E-1	2.0200E+2
3.9658E-1	7.1177E-1	-1.7600E+2
3.9681E-1	7.1153E-1	-4.3100E+2
3.9705E-1	7.1055E-1	-4.5000E+1
3.9740E-1	7.1055E-1	-1.6800E+2
3.9764E-1	7.0958E-1	3.4000E+1
3.9799E-1	7.0885E-1	-3.2600E+2
3.9822E-1	7.1104E-1	-7.7200E+2
3.9846E-1	7.0837E-1	-8.5000E+1
3.9881E-1	7.0861E-1	-4.4000E+2
3.9905E-1	7.0715E-1	-3.7600E+2
3.9940E-1	7.1031E-1	2.7800E+2
3.9964E-1	7.0788E-1	-8.1000E+1
3.9987E-1	7.0715E-1	5.1000E+1
4.0022E-1	7.0667E-1	5.6000E+1
4.0046E-1	7.0691E-1	-4.9700E+2
4.0081E-1	7.0497E-1	-2.2700E+2
4.0105E-1	7.0570E-1	-8.5200E+2
4.0128E-1	7.0302E-1	9.0000E+0
4.0164E-1	7.0497E-1	9.0000E+0
4.0187E-1	7.0375E-1	-1.5500E+2
4.0222E-1	7.0327E-1	7.9000E+1
4.0246E-1	7.0472E-1	8.1000E+1
4.0270E-1	7.0230E-1	-2.4300E+2
4.0305E-1	7.0205E-1	1.1000E+2
4.0328E-1	7.0230E-1	-3.1200E+2
4.0364E-1	7.0205E-1	8.5000E+1
4.0387E-1	7.0059E-1	4.9100E+2
4.0411E-1	7.0035E-1	-2.0800E+2
4.0446E-1	7.0132E-1	-3.3000E+1
4.0470E-1	7.0084E-1	2.8800E+2
4.0505E-1	6.9938E-1	3.3900E+2
4.0528E-1	6.9792E-1	-2.1000E+2
4.0552E-1	6.9889E-1	-9.9000E+1
4.0587E-1	6.9817E-1	1.2500E+2
4.0611E-1	6.9792E-1	-5.0000E+1
4.0646E-1	6.9549E-1	-2.4900E+2
4.0670E-1	6.9574E-1	-2.0500E+2
4.0705E-1	6.9549E-1	4.6000E+1
4.0728E-1	6.9501E-1	-3.2500E+2
4.0752E-1	6.9622E-1	-4.4700E+2
4.0787E-1	6.9331E-1	-1.4700E+2
4.0811E-1	6.9598E-1	9.7000E+1
4.0846E-1	6.9379E-1	-9.4000E+1
4.0870E-1	6.9574E-1	1.1200E+2
4.0893E-1	6.9379E-1	-2.4700E+2
4.0928E-1	6.9331E-1	1.1830E+3
4.0952E-1	6.9404E-1	-3.9600E+2
4.0987E-1	6.9209E-1	1.3100E+2
4.1011E-1	6.9136E-1	-1.4200E+2
4.1034E-1	6.9282E-1	1.9000E+1
4.1070E-1	6.9161E-1	-3.8800E+2
4.1093E-1	6.9039E-1	-2.9600E+2
4.1128E-1	6.8991E-1	-2.7000E+1
4.1152E-1	6.9015E-1	3.2300E+2
4.1175E-1	6.8966E-1	-4.2400E+2
4.1211E-1	6.8918E-1	-9.0000E+1
4.1234E-1	6.8845E-1	-6.8200E+2
4.1270E-1	6.8699E-1	-2.6600E+2
4.1293E-1	6.8675E-1	-4.5000E+1
4.1317E-1	6.8821E-1	6.0800E+2
4.1352E-1	6.8723E-1	8.5000E+1
4.1375E-1	6.8699E-1	-2.4000E+1
4.1411E-1	6.8675E-1	-6.8000E+1
4.1434E-1	6.8529E-1	-1.8600E+2
4.1458E-1	6.8480E-1	-4.9000E+1
4.1493E-1	6.8480E-1	-4.0900E+2
4.1517E-1	6.8675E-1	-6.3600E+2
4.1552E-1	6.8383E-1	1.2000E+1
4.1575E-1	6.8480E-1	-3.9900E+2
4.1599E-1	6.8408E-1	6.1100E+2
4.1634E-1	6.8310E-1	-4.0000E+1
4.1658E-1	6.8262E-1	-3.2500E+2
4.1693E-1	6.8310E-1	-7.0000E+1
4.1717E-1	6.8043E-1	-1.6000E+2
4.1740E-1	6.8043E-1	3.0400E+2
4.1776E-1	6.7897E-1	7.0000E+0
4.1799E-1	6.8043E-1	-1.5900E+2
4.1834E-1	6.7995E-1	-2.6100E+2
4.1858E-1	6.8067E-1	2.9000E+1
4.1881E-1	6.8019E-1	-4.7000E+1
4.1917E-1	6.8019E-1	-4.5400E+2
4.1940E-1	6.7922E-1	-1.6100E+2
4.1976E-1	6.7897E-1	7.1000E+1
4.1999E-1	6.7703E-1	3.1800E+2
4.2023E-1	6.7727E-1	4.3100E+2
4.2058E-1	6.7703E-1	1.2500E+2
4.2081E-1	6.7776E-1	-1.2000E+1
4.2117E-1	6.7679E-1	2.6000E+2
4.2140E-1	6.7679E-1	6.0900E+2
4.2164E-1	6.7582E-1	1.8400E+2
4.2199E-1	6.7436E-1	-4.2000E+1
4.2223E-1	6.7460E-1	-5.4600E+2
4.2258E-1	6.7387E-1	-1.5500E+2
4.2281E-1	6.7363E-1	-3.6000E+2
4.2305E-1	6.7460E-1	1.6500E+2
4.2340E-1	6.7290E-1	9.1000E+1
4.2364E-1	6.7071E-1	4.3700E+2
4.2399E-1	6.7387E-1	2.3700E+2
4.2423E-1	6.7266E-1	-8.0000E+2
4.2446E-1	6.7120E-1	2.2200E+2
4.2481E-1	6.7290E-1	-3.3800E+2
4.2505E-1	6.7071E-1	4.8000E+1
4.2540E-1	6.6974E-1	-6.2000E+1
4.2564E-1	6.7096E-1	3.9200E+2
4.2587E-1	6.6877E-1	4.1100E+2
4.2623E-1	6.6974E-1	7.2300E+2
4.2646E-1	6.6974E-1	4.2000E+2
4.2681E-1	6.6804E-1	4.9800E+2
4.2705E-1	6.6780E-1	-5.3000E+1
4.2740E-1	6.6707E-1	1.4300E+2
4.2764E-1	6.6634E-1	-2.4100E+2
4.2787E-1	6.6610E-1	6.2700E+2
4.2823E-1	6.6561E-1	1.0600E+2
4.2846E-1	6.6731E-1	2.0100E+2
4.2881E-1	6.6658E-1	1.6400E+2
4.2905E-1	6.6634E-1	-1.7500E+2
4.2929E-1	6.6391E-1	-1.7900E+2
4.2964E-1	6.6464E-1	2.8100E+2
4.2987E-1	6.6415E-1	8.0900E+2
4.3023E-1	6.6537E-1	-1.8500E+2
4.3046E-1	6.6415E-1	2.5100E+2
4.3070E-1	6.6318E-1	-2.0300E+2
4.3105E-1	6.6561E-1	3.9500E+2
4.3129E-1	6.6294E-1	5.6000E+1
4.3164E-1	6.6343E-1	-3.1900E+2
4.3187E-1	6.6148E-1	-3.5500E+2
4.3211E-1	6.6245E-1	1.3500E+2
4.3246E-1	6.6148E-1	-3.8500E+2
4.3270E-1	6.6148E-1	-4.0200E+2
4.3305E-1	6.6173E-1	2.2000E+1
4.3329E-1	6.6148E-1	-1.5600E+2
4.3352E-1	6.6148E-1	2.2000E+2
4.3387E-1	6.6027E-1	3.9600E+2
4.3411E-1	6.5930E-1	1.1200E+2
4.3446E-1	6.6027E-1	-3.2200E+2
4.3470E-1	6.5881E-1	-4.3200E+2
4.3493E-1	6.5760E-1	-2.3900E+2
4.3529E-1	6.5857E-1	-1.7000E+2
4.3552E-1	6.5808E-1	-2.0000E+1
4.3587E-1	6.5832E-1	2.4500E+2
4.3611E-1	6.5832E-1	-1.4700E+2
4.3634E-1	6.5760E-1	-3.7700E+2
4.3670E-1	6.5832E-1	-4.9300E+2
4.3693E-1	6.5517E-1	-3.2200E+2
4.3729E-1	6.5711E-1	6.1000E+1
4.3752E-1	6.5735E-1	-3.5000E+2
