Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.6504E-1	6.1241E-1	7.5600E+2
-7.6457E-1	6.1338E-1	3.8600E+2
-7.6398E-1	6.0949E-1	6.9000E+1
-7.6339E-1	6.0974E-1	-2.5900E+2
-7.6292E-1	6.0804E-1	4.5500E+2
-7.6245E-1	6.0658E-1	8.8000E+1
-7.6186E-1	6.0561E-1	2.7200E+2
-7.6139E-1	6.0488E-1	1.8100E+2
-7.6080E-1	6.0196E-1	5.8600E+2
-7.6033E-1	6.0221E-1	-2.4700E+2
-7.5986E-1	6.0245E-1	-3.1000E+1
-7.5927E-1	5.9856E-1	-3.4000E+1
-7.5880E-1	5.9783E-1	-3.6800E+2
-7.5822E-1	5.9905E-1	4.0800E+2
-7.5774E-1	5.9662E-1	-3.3500E+2
-7.5716E-1	5.9540E-1	-6.0300E+2
-7.5669E-1	5.9516E-1	1.7700E+2
-7.5622E-1	5.9419E-1	-4.7500E+2
-7.5563E-1	5.9273E-1	-7.4800E+2
-7.5504E-1	5.9395E-1	-3.2600E+2
-7.5457E-1	5.9273E-1	-4.5000E+2
-7.5410E-1	5.9346E-1	1.9300E+2
-7.5351E-1	5.9176E-1	6.5500E+2
-7.5304E-1	5.8933E-1	7.2600E+2
-7.5245E-1	5.8496E-1	9.3100E+2
-7.5198E-1	5.8277E-1	4.5000E+2
-7.5139E-1	5.8059E-1	0.0000E+0
-7.5092E-1	5.7913E-1	4.8400E+2
-7.5045E-1	5.7840E-1	3.0000E+0
-7.4986E-1	5.7403E-1	2.2000E+1
-7.4939E-1	5.7548E-1	1.5600E+2
-7.4880E-1	5.7378E-1	4.5800E+2
-7.4833E-1	5.7233E-1	-3.1600E+2
-7.4786E-1	5.7014E-1	-2.5000E+1
-7.4727E-1	5.6917E-1	-4.6000E+1
-7.4668E-1	5.6771E-1	3.9400E+2
-7.4621E-1	5.6722E-1	4.8700E+2
-7.4574E-1	5.6625E-1	-2.0000E+0
-7.4516E-1	5.6407E-1	-2.9200E+2
-7.4457E-1	5.6455E-1	-7.5800E+2
-7.4410E-1	5.6577E-1	-3.1100E+2
-7.4363E-1	5.6747E-1	-4.3300E+2
-7.4304E-1	5.6893E-1	-4.4200E+2
-7.4257E-1	5.7694E-1	-1.0760E+3
-7.4210E-1	5.7937E-1	-3.0300E+2
-7.4151E-1	5.7864E-1	-1.2800E+2
-7.4104E-1	5.7476E-1	1.3210E+3
-7.4045E-1	5.6601E-1	1.0910E+3
-7.3998E-1	5.6091E-1	7.6400E+2
-7.3951E-1	5.5556E-1	9.0300E+2
-7.3892E-1	5.5192E-1	-2.9000E+2
-7.3833E-1	5.4803E-1	6.1300E+2
-7.3786E-1	5.4779E-1	3.8300E+2
-7.3739E-1	5.4585E-1	-8.1000E+1
-7.3680E-1	5.4317E-1	-2.8400E+2
-7.3621E-1	5.4293E-1	8.3000E+1
-7.3574E-1	5.4147E-1	2.8400E+2
-7.3527E-1	5.4002E-1	-1.8000E+1
-7.3468E-1	5.3807E-1	2.9300E+2
-7.3421E-1	5.3783E-1	2.8300E+2
-7.3363E-1	5.3637E-1	-2.9800E+2
-7.3315E-1	5.3491E-1	-4.7800E+2
-7.3268E-1	5.3613E-1	3.6900E+2
-7.3210E-1	5.3516E-1	3.7700E+2
-7.3163E-1	5.3297E-1	4.5500E+2
-7.3104E-1	5.3273E-1	-5.9800E+2
-7.3057E-1	5.3321E-1	-1.0000E+0
-7.2998E-1	5.3273E-1	-1.1800E+2
-7.2951E-1	5.3103E-1	2.7200E+2
-7.2904E-1	5.3200E-1	1.8200E+2
-7.2845E-1	5.3346E-1	-3.4000E+1
-7.2786E-1	5.3419E-1	-1.5800E+2
-7.2739E-1	5.3589E-1	-6.4600E+2
-7.2692E-1	5.3977E-1	-4.7100E+2
-7.2633E-1	5.4123E-1	-1.3750E+3
-7.2586E-1	5.5289E-1	-2.3330E+3
-7.2527E-1	5.7038E-1	-2.8100E+3
-7.2480E-1	5.7864E-1	-1.9880E+3
-7.2421E-1	5.8277E-1	2.8000E+1
-7.2374E-1	5.6820E-1	2.3860E+3
-7.2327E-1	5.5192E-1	2.1570E+3
-7.2268E-1	5.4269E-1	1.3190E+3
-7.2221E-1	5.3394E-1	9.8300E+2
-7.2162E-1	5.2544E-1	4.4400E+2
-7.2115E-1	5.2180E-1	5.6200E+2
-7.2068E-1	5.2010E-1	-3.9000E+1
-7.2009E-1	5.1524E-1	2.9500E+2
-7.1951E-1	5.1305E-1	1.6300E+2
-7.1904E-1	5.1256E-1	7.3400E+2
-7.1857E-1	5.1232E-1	-1.6400E+2
-7.1798E-1	5.0601E-1	-1.3100E+2
-7.1751E-1	5.0673E-1	1.2200E+2
-7.1692E-1	5.0601E-1	-6.5600E+2
-7.1645E-1	5.0309E-1	-7.6900E+2
-7.1598E-1	5.0382E-1	-1.0000E+0
-7.1539E-1	5.0139E-1	6.1000E+1
-7.1492E-1	5.0115E-1	2.6100E+2
-7.1433E-1	5.0139E-1	8.0900E+2
-7.1386E-1	5.0017E-1	-3.4100E+2
-7.1327E-1	4.9945E-1	-8.4200E+2
-7.1280E-1	4.9556E-1	3.1100E+2
-7.1233E-1	4.9823E-1	1.5000E+1
-7.1174E-1	4.9532E-1	-7.7100E+2
-7.1115E-1	4.9605E-1	-1.2100E+2
-7.1068E-1	4.9483E-1	-2.3900E+2
-7.1021E-1	4.9434E-1	4.0000E+1
-7.0962E-1	4.9337E-1	3.4000E+1
-7.0915E-1	4.9459E-1	8.1000E+1
-7.0856E-1	4.9386E-1	2.5200E+2
-7.0809E-1	4.9192E-1	-7.1900E+2
-7.0751E-1	4.9240E-1	-8.8000E+1
-7.0703E-1	4.9240E-1	-5.3800E+2
-7.0645E-1	4.9289E-1	1.1000E+2
-7.0598E-1	4.8997E-1	-5.5200E+2
-7.0551E-1	4.9021E-1	-3.8800E+2
-7.0492E-1	4.8924E-1	6.8000E+1
-7.0445E-1	4.8973E-1	1.9200E+2
-7.0386E-1	4.8973E-1	-9.2000E+1
-7.0339E-1	4.8779E-1	2.2000E+1
-7.0280E-1	4.8997E-1	-7.9000E+1
-7.0233E-1	4.8924E-1	7.9000E+1
-7.0186E-1	4.8973E-1	-4.6000E+2
-7.0127E-1	4.8973E-1	1.2600E+2
-7.0068E-1	4.8779E-1	-6.1400E+2
-7.0021E-1	4.8900E-1	3.2200E+2
-6.9974E-1	4.8900E-1	3.2000E+1
-6.9915E-1	4.9046E-1	-4.9400E+2
-6.9868E-1	4.9167E-1	4.0000E+1
-6.9809E-1	4.9070E-1	-3.6200E+2
-6.9762E-1	4.9094E-1	-1.8000E+2
-6.9715E-1	4.9216E-1	-5.3300E+2
-6.9656E-1	4.9434E-1	-4.8400E+2
-6.9609E-1	4.9507E-1	-7.6700E+2
-6.9550E-1	5.0066E-1	-5.8700E+2
-6.9503E-1	5.0139E-1	1.6000E+2
-6.9445E-1	4.9823E-1	3.5000E+2
-6.9398E-1	4.9702E-1	7.4500E+2
-6.9350E-1	4.9556E-1	-7.5000E+1
-6.9292E-1	4.9556E-1	-3.2200E+2
-6.9233E-1	4.9483E-1	1.1900E+2
-6.9186E-1	4.9289E-1	-1.8200E+2
-6.9139E-1	4.9410E-1	-5.4900E+2
-6.9080E-1	4.9410E-1	-3.8900E+2
-6.9033E-1	4.9507E-1	-9.3500E+2
-6.8974E-1	4.9362E-1	-6.1000E+1
-6.8927E-1	4.9653E-1	-1.1800E+2
-6.8880E-1	4.9629E-1	2.3000E+1
-6.8821E-1	4.9677E-1	-7.3400E+2
-6.8774E-1	4.9629E-1	-7.7000E+2
-6.8715E-1	4.9605E-1	-6.3800E+2
-6.8668E-1	4.9726E-1	-6.7000E+1
-6.8609E-1	4.9969E-1	-7.7000E+2
-6.8562E-1	4.9993E-1	-6.4000E+1
-6.8515E-1	5.0017E-1	-5.3700E+2
-6.8456E-1	5.0066E-1	-2.2000E+2
-6.8397E-1	5.0236E-1	-3.3500E+2
-6.8350E-1	5.0212E-1	-6.1400E+2
-6.8303E-1	5.0285E-1	-3.9300E+2
-6.8244E-1	5.0382E-1	-3.8000E+2
-6.8197E-1	5.0406E-1	-7.1700E+2
-6.8139E-1	5.0698E-1	-6.2600E+2
-6.8092E-1	5.0649E-1	-7.0000E+2
-6.8033E-1	5.0746E-1	2.2400E+2
-6.7986E-1	5.1038E-1	-5.3300E+2
-6.7927E-1	5.0892E-1	-5.0400E+2
-6.7880E-1	5.1135E-1	-8.4500E+2
-6.7833E-1	5.1135E-1	-4.2400E+2
-6.7774E-1	5.1184E-1	-7.3000E+2
-6.7727E-1	5.1232E-1	-8.0600E+2
-6.7668E-1	5.1378E-1	-7.0400E+2
-6.7621E-1	5.1597E-1	-7.3200E+2
-6.7562E-1	5.1791E-1	3.2200E+2
-6.7515E-1	5.1815E-1	-5.1500E+2
-6.7468E-1	5.1985E-1	-3.9200E+2
-6.7409E-1	5.2034E-1	-3.8100E+2
-6.7350E-1	5.2082E-1	-9.3700E+2
-6.7303E-1	5.2180E-1	-3.3800E+2
-6.7256E-1	5.2423E-1	-4.0800E+2
-6.7197E-1	5.2520E-1	-7.8400E+2
-6.7150E-1	5.2690E-1	-3.8400E+2
-6.7091E-1	5.2787E-1	-4.1700E+2
-6.7044E-1	5.2933E-1	-1.8900E+2
-6.6997E-1	5.3054E-1	-7.1200E+2
-6.6939E-1	5.3176E-1	-7.5800E+2
-6.6891E-1	5.3394E-1	-7.2200E+2
-6.6833E-1	5.3297E-1	-1.2010E+3
-6.6786E-1	5.3613E-1	-8.9200E+2
-6.6727E-1	5.3807E-1	-3.9100E+2
-6.6680E-1	5.3856E-1	1.4000E+1
-6.6633E-1	5.3953E-1	-8.2400E+2
-6.6574E-1	5.4050E-1	-4.1800E+2
-6.6515E-1	5.4366E-1	-8.7100E+2
-6.6468E-1	5.4415E-1	-7.3400E+2
-6.6421E-1	5.4730E-1	-9.7200E+2
-6.6362E-1	5.4730E-1	-9.6500E+2
-6.6315E-1	5.4876E-1	-8.1700E+2
-6.6256E-1	5.4949E-1	-1.3420E+3
-6.6209E-1	5.5362E-1	-9.9300E+2
-6.6162E-1	5.5483E-1	-2.7000E+2
-6.6103E-1	5.5629E-1	-8.9000E+2
-6.6056E-1	5.5726E-1	-4.4600E+2
-6.5997E-1	5.5726E-1	-3.2700E+2
-6.5950E-1	5.5775E-1	-7.2500E+2
-6.5891E-1	5.6237E-1	-1.0570E+3
-6.5844E-1	5.6261E-1	-9.7500E+2
-6.5797E-1	5.6407E-1	-1.4030E+3
-6.5738E-1	5.6674E-1	-8.1000E+2
-6.5680E-1	5.6698E-1	-8.4800E+2
-6.5633E-1	5.7038E-1	-1.9300E+2
-6.5585E-1	5.7135E-1	-3.2100E+2
-6.5527E-1	5.7305E-1	-4.7800E+2
-6.5480E-1	5.7500E-1	-4.2900E+2
-6.5421E-1	5.7646E-1	-1.0950E+3
-6.5374E-1	5.7961E-1	-7.8100E+2
-6.5327E-1	5.7913E-1	-1.1080E+3
-6.5268E-1	5.8326E-1	-7.2700E+2
-6.5209E-1	5.8374E-1	-8.4100E+2
-6.5162E-1	5.8520E-1	-1.0770E+3
-6.5115E-1	5.8617E-1	-7.0900E+2
-6.5056E-1	5.8690E-1	-9.4000E+2
-6.5009E-1	5.8860E-1	-4.0600E+2
-6.4950E-1	5.9322E-1	-6.2200E+2
-6.4903E-1	5.9395E-1	-1.2480E+3
-6.4844E-1	5.9516E-1	-9.6400E+2
-6.4797E-1	5.9711E-1	-8.0300E+2
-6.4750E-1	5.9953E-1	-6.5300E+2
-6.4691E-1	6.0026E-1	-1.3920E+3
-6.4632E-1	6.0221E-1	-5.7400E+2
-6.4585E-1	6.0512E-1	-4.5300E+2
-6.4538E-1	6.0439E-1	-7.7100E+2
-6.4480E-1	6.0901E-1	-1.2020E+3
-6.4432E-1	6.0901E-1	-5.5000E+2
-6.4374E-1	6.1071E-1	-9.8800E+2
-6.4327E-1	6.1290E-1	-8.0800E+2
-6.4279E-1	6.1557E-1	-2.6000E+2
-6.4221E-1	6.1727E-1	-3.4700E+2
-6.4174E-1	6.1727E-1	-7.6100E+2
-6.4115E-1	6.1994E-1	-7.7400E+2
-6.4068E-1	6.2116E-1	-1.2360E+3
-6.4009E-1	6.2383E-1	-9.4000E+2
-6.3962E-1	6.2626E-1	-1.0840E+3
-6.3915E-1	6.2723E-1	-9.1000E+1
-6.3856E-1	6.2747E-1	-1.0090E+3
-6.3797E-1	6.2796E-1	-6.4400E+2
-6.3750E-1	6.3184E-1	-5.5900E+2
-6.3703E-1	6.3233E-1	-1.2310E+3
-6.3644E-1	6.3476E-1	-5.7500E+2
-6.3597E-1	6.3573E-1	-7.0200E+2
-6.3538E-1	6.3865E-1	-5.9500E+2
-6.3491E-1	6.4010E-1	-1.4900E+2
-6.3444E-1	6.4132E-1	-7.8300E+2
-6.3385E-1	6.4448E-1	-1.5390E+3
-6.3338E-1	6.4618E-1	-8.8700E+2
-6.3279E-1	6.4739E-1	-4.5300E+2
-6.3232E-1	6.4958E-1	-5.2100E+2
-6.3174E-1	6.5152E-1	-1.2250E+3
-6.3126E-1	6.5274E-1	-1.1510E+3
-6.3079E-1	6.5444E-1	-6.3900E+2
-6.3021E-1	6.5444E-1	-8.8400E+2
-6.2962E-1	6.5735E-1	-7.2500E+2
-6.2915E-1	6.5784E-1	-7.3500E+2
-6.2868E-1	6.5930E-1	-8.7400E+2
-6.2809E-1	6.6027E-1	-1.0070E+3
-6.2762E-1	6.6343E-1	-1.5000E+2
-6.2703E-1	6.6318E-1	-9.8600E+2
-6.2656E-1	6.6440E-1	-1.0910E+3
-6.2609E-1	6.6756E-1	-4.7100E+2
-6.2550E-1	6.6950E-1	-1.2420E+3
-6.2491E-1	6.7096E-1	-5.1800E+2
-6.2444E-1	6.7071E-1	-1.0060E+3
-6.2397E-1	6.7484E-1	-8.7000E+2
-6.2338E-1	6.7387E-1	-1.3580E+3
-6.2291E-1	6.7752E-1	-4.3600E+2
-6.2232E-1	6.7630E-1	-7.0600E+2
-6.2185E-1	6.7752E-1	-4.2300E+2
-6.2126E-1	6.7995E-1	-1.2660E+3
-6.2079E-1	6.8019E-1	-9.5700E+2
-6.2032E-1	6.8140E-1	-7.3800E+2
-6.1973E-1	6.8359E-1	-2.5300E+2
-6.1915E-1	6.8432E-1	-7.2200E+2
-6.1868E-1	6.8432E-1	-6.7700E+2
-6.1820E-1	6.8748E-1	-8.9000E+2
-6.1762E-1	6.8893E-1	-6.2000E+2
-6.1715E-1	6.9063E-1	-7.9600E+2
-6.1656E-1	6.9088E-1	-8.7400E+2
-6.1609E-1	6.9233E-1	-4.0100E+2
-6.1562E-1	6.9233E-1	-2.5000E+1
-6.1503E-1	6.9282E-1	-8.3000E+2
-6.1456E-1	6.9306E-1	-5.3400E+2
-6.1397E-1	6.9501E-1	-1.1570E+3
-6.1350E-1	6.9598E-1	-9.3400E+2
-6.1291E-1	6.9744E-1	-4.2400E+2
-6.1244E-1	6.9744E-1	-5.5000E+1
-6.1197E-1	7.0035E-1	-6.7400E+2
-6.1138E-1	6.9987E-1	-3.8500E+2
-6.1079E-1	7.0108E-1	-1.1940E+3
-6.1032E-1	7.0059E-1	-5.4900E+2
-6.0985E-1	7.0230E-1	-8.5000E+2
-6.0926E-1	7.0472E-1	-7.4200E+2
-6.0879E-1	7.0497E-1	1.7000E+1
-6.0820E-1	7.0594E-1	-1.0240E+3
-6.0773E-1	7.0618E-1	-1.1660E+3
-6.0726E-1	7.0740E-1	-5.5900E+2
-6.0667E-1	7.0691E-1	-5.4400E+2
-6.0620E-1	7.0691E-1	-1.6200E+2
-6.0562E-1	7.0861E-1	-5.6000E+2
-6.0514E-1	7.0934E-1	-6.5300E+2
-6.0456E-1	7.1031E-1	-4.9600E+2
-6.0409E-1	7.1007E-1	-5.5300E+2
-6.0362E-1	7.1153E-1	-4.9200E+2
-6.0303E-1	7.1226E-1	-3.1700E+2
-6.0244E-1	7.1323E-1	-6.0200E+2
-6.0197E-1	7.1347E-1	-5.6000E+2
-6.0150E-1	7.1250E-1	-1.1530E+3
-6.0091E-1	7.1396E-1	-2.1400E+2
-6.0044E-1	7.1566E-1	-1.1800E+2
-5.9985E-1	7.1274E-1	-8.4800E+2
-5.9938E-1	7.1420E-1	-1.0120E+3
-5.9891E-1	7.1396E-1	-6.9000E+2
-5.9832E-1	7.1663E-1	-8.7400E+2
-5.9773E-1	7.1541E-1	-2.7700E+2
-5.9726E-1	7.1784E-1	-1.6700E+2
-5.9679E-1	7.1566E-1	-5.3100E+2
-5.9620E-1	7.1614E-1	-2.3100E+2
-5.9573E-1	7.1930E-1	-1.0330E+3
-5.9514E-1	7.1663E-1	-1.9300E+2
-5.9467E-1	7.1736E-1	-7.6100E+2
-5.9409E-1	7.1711E-1	-6.5000E+2
-5.9361E-1	7.1809E-1	-4.3400E+2
-5.9314E-1	7.1784E-1	-2.4900E+2
-5.9256E-1	7.1784E-1	-2.0200E+2
-5.9197E-1	7.1566E-1	-3.0700E+2
-5.9150E-1	7.1687E-1	-2.9600E+2
-5.9103E-1	7.1736E-1	-2.5200E+2
-5.9044E-1	7.1760E-1	-1.2800E+2
-5.8997E-1	7.1590E-1	-2.0300E+2
-5.8938E-1	7.1784E-1	-2.5300E+2
-5.8891E-1	7.1614E-1	-7.0300E+2
-5.8844E-1	7.1614E-1	-7.2000E+1
-5.8785E-1	7.1614E-1	-4.8000E+1
-5.8738E-1	7.1663E-1	8.2800E+2
-5.8679E-1	7.1614E-1	-2.1100E+2
-5.8632E-1	7.1493E-1	-4.5800E+2
-5.8573E-1	7.1541E-1	-7.9000E+1
-5.8526E-1	7.1468E-1	2.6700E+2
-5.8479E-1	7.1420E-1	-4.8800E+2
-5.8420E-1	7.1274E-1	-6.2000E+1
-5.8361E-1	7.1347E-1	4.8700E+2
-5.8314E-1	7.1444E-1	-3.9800E+2
-5.8267E-1	7.1396E-1	-2.6500E+2
-5.8208E-1	7.1104E-1	-5.1800E+2
-5.8161E-1	7.1250E-1	-2.8500E+2
-5.8103E-1	7.1177E-1	-6.4500E+2
-5.8055E-1	7.0958E-1	4.4600E+2
-5.8008E-1	7.0910E-1	-1.8000E+2
-5.7950E-1	7.0885E-1	-5.6000E+1
-5.7903E-1	7.0740E-1	-3.9300E+2
-5.7844E-1	7.0788E-1	-6.6000E+1
-5.7797E-1	7.0570E-1	-2.6200E+2
-5.7738E-1	7.0424E-1	-6.2600E+2
-5.7691E-1	7.0424E-1	-3.6100E+2
-5.7644E-1	7.0302E-1	-6.1000E+1
-5.7585E-1	7.0375E-1	3.6000E+1
-5.7526E-1	7.0254E-1	-5.9700E+2
-5.7479E-1	6.9938E-1	3.3700E+2
-5.7432E-1	6.9817E-1	-2.5400E+2
-5.7373E-1	6.9962E-1	1.1700E+2
-5.7326E-1	6.9646E-1	1.7600E+2
-5.7267E-1	6.9598E-1	3.8000E+2
-5.7220E-1	6.9476E-1	4.6400E+2
-5.7173E-1	6.9379E-1	3.2400E+2
-5.7114E-1	6.9258E-1	4.9600E+2
-5.7055E-1	6.9136E-1	-3.1500E+2
