Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.7045E-1	6.4691E-1	2.7900E+2
-7.7033E-1	6.4618E-1	-1.8900E+2
-7.7010E-1	6.4545E-1	2.2500E+2
-7.6998E-1	6.4666E-1	-6.1000E+1
-7.6986E-1	6.4521E-1	-2.8300E+2
-7.6975E-1	6.4351E-1	-2.5100E+2
-7.6963E-1	6.4521E-1	2.8500E+2
-7.6951E-1	6.4326E-1	6.8000E+1
-7.6927E-1	6.4448E-1	-3.9600E+2
-7.6916E-1	6.4423E-1	-1.0000E+2
-7.6904E-1	6.4326E-1	3.7100E+2
-7.6892E-1	6.4302E-1	-2.4000E+1
-7.6880E-1	6.4302E-1	-8.3000E+1
-7.6857E-1	6.4253E-1	-1.0500E+2
-7.6845E-1	6.4326E-1	1.0000E+0
-7.6833E-1	6.4083E-1	9.4000E+1
-7.6822E-1	6.4083E-1	1.7300E+2
-7.6810E-1	6.3938E-1	-6.8000E+1
-7.6798E-1	6.3913E-1	-1.4200E+2
-7.6775E-1	6.4010E-1	-4.8800E+2
-7.6763E-1	6.3865E-1	-8.7000E+1
-7.6751E-1	6.3913E-1	7.0300E+2
-7.6739E-1	6.4059E-1	-3.4600E+2
-7.6727E-1	6.3962E-1	7.9000E+1
-7.6716E-1	6.3865E-1	-3.8500E+2
-7.6692E-1	6.3719E-1	-1.3300E+2
-7.6680E-1	6.3719E-1	3.6000E+1
-7.6669E-1	6.3889E-1	1.1400E+2
-7.6657E-1	6.3840E-1	-5.2000E+1
-7.6645E-1	6.3743E-1	2.4900E+2
-7.6633E-1	6.3792E-1	-2.1600E+2
-7.6610E-1	6.3743E-1	1.5100E+2
-7.6598E-1	6.3646E-1	-4.3900E+2
-7.6586E-1	6.3622E-1	-5.1000E+2
-7.6575E-1	6.3500E-1	-3.1500E+2
-7.6563E-1	6.3525E-1	1.1700E+2
-7.6551E-1	6.3427E-1	2.7200E+2
-7.6527E-1	6.3622E-1	-4.1000E+1
-7.6516E-1	6.3525E-1	-2.0400E+2
-7.6504E-1	6.3525E-1	3.0000E+1
-7.6492E-1	6.3355E-1	-2.4500E+2
-7.6480E-1	6.3476E-1	-1.0400E+2
-7.6469E-1	6.3427E-1	-9.4000E+1
-7.6457E-1	6.3257E-1	-2.0100E+2
-7.6433E-1	6.3209E-1	2.7100E+2
-7.6422E-1	6.3355E-1	3.2000E+2
-7.6410E-1	6.3233E-1	1.1600E+2
-7.6398E-1	6.3160E-1	4.5000E+1
-7.6386E-1	6.3160E-1	-5.0200E+2
-7.6363E-1	6.3257E-1	-1.9800E+2
-7.6351E-1	6.3160E-1	7.7000E+1
-7.6339E-1	6.3160E-1	3.8000E+1
-7.6327E-1	6.3209E-1	-1.9700E+2
-7.6316E-1	6.3039E-1	-1.8400E+2
-7.6304E-1	6.3039E-1	5.3000E+2
-7.6280E-1	6.2990E-1	-4.7000E+2
-7.6269E-1	6.2966E-1	-3.6200E+2
-7.6257E-1	6.2990E-1	2.6900E+2
-7.6245E-1	6.2990E-1	3.4600E+2
-7.6233E-1	6.2771E-1	4.1400E+2
-7.6222E-1	6.2796E-1	-1.5400E+2
-7.6198E-1	6.2966E-1	2.1100E+2
-7.6186E-1	6.2796E-1	0.0000E+0
-7.6174E-1	6.2699E-1	2.1500E+2
-7.6163E-1	6.2747E-1	-5.2000E+1
-7.6151E-1	6.2650E-1	-2.3700E+2
-7.6139E-1	6.2577E-1	2.0200E+2
-7.6116E-1	6.2699E-1	8.2000E+1
-7.6104E-1	6.2577E-1	-9.6000E+1
-7.6092E-1	6.2456E-1	-4.6600E+2
-7.6080E-1	6.2601E-1	-1.3800E+2
-7.6069E-1	6.2431E-1	2.3200E+2
-7.6057E-1	6.2407E-1	-1.5200E+2
-7.6033E-1	6.2553E-1	-2.4800E+2
-7.6022E-1	6.2334E-1	1.3500E+2
-7.6010E-1	6.2431E-1	3.1300E+2
-7.5998E-1	6.2456E-1	-7.6000E+1
-7.5986E-1	6.2213E-1	2.8800E+2
-7.5974E-1	6.2188E-1	-6.0400E+2
-7.5963E-1	6.2164E-1	-2.8000E+2
-7.5939E-1	6.2261E-1	-1.6300E+2
-7.5927E-1	6.2310E-1	-5.0800E+2
-7.5916E-1	6.2213E-1	-4.2300E+2
-7.5904E-1	6.2310E-1	-1.8000E+1
-7.5892E-1	6.2261E-1	-4.3000E+1
-7.5880E-1	6.2334E-1	-2.9700E+2
-7.5857E-1	6.2310E-1	-2.5000E+1
-7.5845E-1	6.2334E-1	8.8000E+1
-7.5833E-1	6.2213E-1	-3.4500E+2
-7.5822E-1	6.2213E-1	1.6100E+2
-7.5810E-1	6.2213E-1	-1.4400E+2
-7.5786E-1	6.2043E-1	-3.5800E+2
-7.5774E-1	6.2237E-1	-7.9700E+2
-7.5763E-1	6.2286E-1	-2.3800E+2
-7.5751E-1	6.2286E-1	-9.8000E+2
-7.5739E-1	6.2480E-1	-5.0200E+2
-7.5727E-1	6.2286E-1	-4.9000E+2
-7.5704E-1	6.2067E-1	-2.0000E+2
-7.5692E-1	6.2286E-1	-4.5900E+2
-7.5680E-1	6.2286E-1	3.3600E+2
-7.5669E-1	6.2140E-1	4.1600E+2
-7.5657E-1	6.2164E-1	1.1530E+3
-7.5645E-1	6.2043E-1	3.5300E+2
-7.5622E-1	6.1848E-1	5.4700E+2
-7.5610E-1	6.1946E-1	3.0000E+2
-7.5598E-1	6.1751E-1	9.9900E+2
-7.5586E-1	6.1800E-1	5.6100E+2
-7.5574E-1	6.1751E-1	1.2230E+3
-7.5563E-1	6.1630E-1	6.3000E+2
-7.5539E-1	6.1605E-1	5.3200E+2
-7.5527E-1	6.1533E-1	5.3900E+2
-7.5516E-1	6.1265E-1	6.1300E+2
-7.5504E-1	6.1411E-1	2.8900E+2
-7.5492E-1	6.1241E-1	4.5400E+2
-7.5480E-1	6.1071E-1	-1.1500E+2
