Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.520e-01,0,0.75
-3.480e-01,0.16,0.75
-3.440e-01,0.16,0.73
-3.400e-01,0.16,0.81
-3.360e-01,0.24,0.83
-3.320e-01,0.16,0.85
-3.280e-01,0.24,0.87
-3.240e-01,0.24,0.91
-3.200e-01,0.32,0.89
-3.160e-01,0.24,0.93
-3.120e-01,0.32,0.95
-3.080e-01,0.32,0.95
-3.040e-01,0.32,0.97
-3.000e-01,0.24,0.97
-2.960e-01,0.24,0.99
-2.920e-01,0.32,1.01
-2.880e-01,0.48,0.99
-2.840e-01,0.48,1.03
-2.800e-01,0.48,1.05
-2.760e-01,0.48,1.03
-2.720e-01,0.48,1.09
-2.680e-01,0.48,1.07
-2.640e-01,0.48,1.09
-2.600e-01,0.56,1.11
-2.560e-01,0.48,1.11
-2.520e-01,0.56,1.11
-2.480e-01,0.56,1.13
-2.440e-01,0.64,1.15
-2.400e-01,0.56,1.15
-2.360e-01,0.64,1.15
-2.320e-01,0.64,1.15
-2.280e-01,0.64,1.13
-2.240e-01,0.64,1.15
-2.200e-01,0.72,1.13
-2.160e-01,0.8,1.13
-2.120e-01,0.8,1.13
-2.080e-01,0.72,1.11
-2.040e-01,0.8,1.11
-2.000e-01,0.88,1.13
-1.960e-01,0.8,1.11
-1.920e-01,0.8,1.07
-1.880e-01,0.88,1.09
-1.840e-01,0.88,1.07
-1.800e-01,0.88,1.05
-1.760e-01,0.96,1.05
-1.720e-01,0.88,1.05
-1.680e-01,0.88,1.03
-1.640e-01,0.96,1.01
-1.600e-01,0.96,0.99
-1.560e-01,1.04,0.99
-1.520e-01,1.04,0.99
-1.480e-01,1.04,0.97
-1.440e-01,1.04,0.97
