Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.560e-01,3.82688,1.20691
-4.540e-01,3.8375,1.20784
-4.520e-01,3.8475,1.20825
-4.500e-01,3.85781,1.20863
-4.480e-01,3.86844,1.20947
-4.460e-01,3.87656,1.21119
-4.440e-01,3.8875,1.21234
-4.420e-01,3.8975,1.21259
-4.400e-01,3.91063,1.21269
-4.380e-01,3.9225,1.21375
-4.360e-01,3.9325,1.21531
-4.340e-01,3.94188,1.21687
-4.320e-01,3.95562,1.21697
-4.300e-01,3.96594,1.21709
-4.280e-01,3.97438,1.21797
-4.260e-01,3.98625,1.21934
-4.240e-01,3.99594,1.22037
-4.220e-01,4.00531,1.22053
-4.200e-01,4.01781,1.22044
-4.180e-01,4.02937,1.22125
-4.160e-01,4.0375,1.22272
-4.140e-01,4.04531,1.22347
-4.120e-01,4.05594,1.22366
-4.100e-01,4.06844,1.22287
-4.080e-01,4.07937,1.22334
-4.060e-01,4.08938,1.2245
-4.040e-01,4.1025,1.22513
-4.020e-01,4.11062,1.22503
-4.000e-01,4.12281,1.22487
-3.980e-01,4.13531,1.22506
-3.960e-01,4.14625,1.22619
-3.940e-01,4.15656,1.22653
-3.920e-01,4.16812,1.22622
-3.900e-01,4.18063,1.22591
-3.880e-01,4.19125,1.22612
-3.860e-01,4.20219,1.22706
-3.840e-01,4.21219,1.22744
-3.820e-01,4.22406,1.22697
-3.800e-01,4.23406,1.22634
-3.780e-01,4.245,1.22681
-3.760e-01,4.25594,1.22759
-3.740e-01,4.26656,1.22775
-3.720e-01,4.2775,1.22706
-3.700e-01,4.28688,1.22628
-3.680e-01,4.29719,1.22619
-3.660e-01,4.30813,1.22681
-3.640e-01,4.3175,1.22684
-3.620e-01,4.32594,1.22619
-3.600e-01,4.33812,1.22534
-3.580e-01,4.34687,1.22528
-3.560e-01,4.35844,1.22597
-3.540e-01,4.36719,1.22597
-3.520e-01,4.37875,1.22491
-3.500e-01,4.38969,1.22403
-3.480e-01,4.40188,1.22378
-3.460e-01,4.41281,1.22412
-3.440e-01,4.42219,1.22428
-3.420e-01,4.43687,1.22294
-3.400e-01,4.44781,1.22172
-3.380e-01,4.45906,1.22138
-3.360e-01,4.4675,1.22156
-3.340e-01,4.47656,1.22138
-3.320e-01,4.48531,1.22031
-3.300e-01,4.49469,1.21891
-3.280e-01,4.50531,1.21834
-3.260e-01,4.5125,1.21834
-3.240e-01,4.525,1.21781
-3.220e-01,4.53594,1.21619
-3.200e-01,4.54531,1.21463
-3.180e-01,4.55687,1.21409
-3.160e-01,4.56438,1.21406
-3.140e-01,4.57531,1.21344
-3.120e-01,4.58781,1.21197
-3.100e-01,4.59656,1.21041
-3.080e-01,4.60719,1.20962
-3.060e-01,4.6175,1.2095
-3.040e-01,4.6275,1.20909
-3.020e-01,4.63781,1.20794
-3.000e-01,4.64938,1.20644
-2.980e-01,4.66031,1.20569
-2.960e-01,4.67031,1.20538
-2.940e-01,4.68281,1.20469
-2.920e-01,4.69375,1.20344
-2.900e-01,4.70312,1.20181
-2.880e-01,4.71312,1.20109
-2.860e-01,4.72406,1.20078
-2.840e-01,4.73562,1.19984
-2.820e-01,4.74875,1.19844
-2.800e-01,4.75969,1.19672
-2.780e-01,4.76844,1.19578
-2.760e-01,4.77438,1.19572
-2.740e-01,4.78469,1.19494
-2.720e-01,4.79469,1.19341
-2.700e-01,4.80344,1.19162
-2.680e-01,4.815,1.1905
-2.660e-01,4.82437,1.18997
-2.640e-01,4.83344,1.18897
-2.620e-01,4.84312,1.18725
-2.600e-01,4.85406,1.18538
-2.580e-01,4.86625,1.18444
-2.560e-01,4.875,1.18428
-2.540e-01,4.88438,1.18344
-2.520e-01,4.89375,1.1815
-2.500e-01,4.90188,1.17962
-2.480e-01,4.91312,1.17831
-2.460e-01,4.92469,1.17775
-2.440e-01,4.93406,1.177
-2.420e-01,4.94656,1.17566
-2.400e-01,4.95875,1.17331
-2.380e-01,4.96906,1.17272
-2.360e-01,4.97844,1.17184
-2.340e-01,4.9875,1.17122
-2.320e-01,4.99937,1.16975
-2.300e-01,5.00781,1.16781
-2.280e-01,5.01562,1.16694
-2.260e-01,5.02406,1.16681
-2.240e-01,5.03281,1.16619
-2.220e-01,5.04344,1.16469
-2.200e-01,5.05438,1.16237
-2.180e-01,5.06469,1.16144
-2.160e-01,5.07375,1.16134
-2.140e-01,5.08344,1.16072
-2.120e-01,5.09094,1.15894
-2.100e-01,5.09813,1.15684
-2.080e-01,5.10406,1.15553
-2.060e-01,5.10906,1.15497
-2.040e-01,5.11531,1.15453
-2.020e-01,5.12375,1.15281
-2.000e-01,5.13156,1.1515
-1.980e-01,5.14062,1.15041
-1.960e-01,5.15,1.15053
-1.940e-01,5.16031,1.15
-1.920e-01,5.17281,1.14844
-1.900e-01,5.18219,1.14691
-1.880e-01,5.19437,1.14609
-1.860e-01,5.20281,1.14613
-1.840e-01,5.21219,1.14566
-1.820e-01,5.225,1.14431
-1.800e-01,5.23406,1.14291
-1.780e-01,5.24594,1.14222
-1.760e-01,5.2575,1.14184
-1.740e-01,5.26375,1.142
-1.720e-01,5.27219,1.14075
-1.700e-01,5.28406,1.13966
-1.680e-01,5.29563,1.13888
-1.660e-01,5.30187,1.13881
-1.640e-01,5.31344,1.13841
-1.620e-01,5.32375,1.13719
-1.600e-01,5.33531,1.13553
-1.580e-01,5.34438,1.13506
-1.560e-01,5.35531,1.13559
-1.540e-01,5.36406,1.13553
-1.520e-01,5.37406,1.13462
-1.500e-01,5.385,1.13303
-1.480e-01,5.39594,1.13275
-1.460e-01,5.40688,1.13244
-1.440e-01,5.4175,1.13244
-1.420e-01,5.42844,1.13125
-1.400e-01,5.44,1.1305
-1.380e-01,5.45094,1.13031
-1.360e-01,5.46281,1.13078
-1.340e-01,5.47125,1.13072
-1.320e-01,5.48,1.13019
-1.300e-01,5.49219,1.12884
-1.280e-01,5.50375,1.12856
-1.260e-01,5.5025,1.12931
-1.240e-01,5.48906,1.12956
