Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.480e-01,4.32,1.16
-4.440e-01,4.32,1.32
-4.400e-01,4.32,1.4
-4.360e-01,4.24,1.4
-4.320e-01,4.32,1.48
-4.280e-01,4.24,1.48
-4.240e-01,4.24,1.48
-4.200e-01,4.24,1.56
-4.160e-01,4.16,1.48
-4.120e-01,4.08,1.48
-4.080e-01,4.16,1.48
-4.040e-01,4.08,1.48
-4.000e-01,4.08,1.56
-3.960e-01,4,1.56
-3.920e-01,4.08,1.56
-3.880e-01,4.08,1.64
-3.840e-01,4,1.48
-3.800e-01,4.08,1.56
-3.760e-01,4,1.56
-3.720e-01,4,1.56
-3.680e-01,3.92,1.48
-3.640e-01,3.84,1.56
-3.600e-01,4,1.64
-3.560e-01,3.84,1.88
-3.520e-01,3.84,1.88
-3.480e-01,3.84,2.12
-3.440e-01,3.84,2.2
-3.400e-01,3.84,2.28
-3.360e-01,3.76,2.04
-3.320e-01,3.76,1.88
-3.280e-01,3.76,1.8
-3.240e-01,3.76,1.72
-3.200e-01,3.76,1.64
-3.160e-01,3.68,1.72
-3.120e-01,3.68,1.72
-3.080e-01,3.68,1.8
-3.040e-01,3.68,1.88
-3.000e-01,3.68,1.88
-2.960e-01,3.52,2.04
-2.920e-01,3.6,2.28
-2.880e-01,3.52,2.44
-2.840e-01,3.52,2.6
-2.800e-01,3.52,2.76
-2.760e-01,3.6,2.92
-2.720e-01,3.44,3
-2.680e-01,3.44,3.16
-2.640e-01,3.52,3.24
-2.600e-01,3.44,3.4
-2.560e-01,3.36,3.64
-2.520e-01,3.44,3.72
-2.480e-01,3.52,3.88
-2.440e-01,3.36,3.96
-2.400e-01,3.36,3.88
-2.360e-01,3.44,3.96
-2.320e-01,3.28,4.12
-2.280e-01,3.36,4.04
-2.240e-01,3.28,4.12
-2.200e-01,3.2,4.12
-2.160e-01,3.2,4.12
-2.120e-01,3.36,4.2
-2.080e-01,3.28,4.12
-2.040e-01,3.12,4.12
-2.000e-01,3.2,4.2
-1.960e-01,3.2,4.12
-1.920e-01,3.12,4.12
-1.880e-01,3.04,4.12
-1.840e-01,3.2,3.96
-1.800e-01,3.2,4.2
-1.760e-01,3.04,3.96
-1.720e-01,3.12,3.96
-1.680e-01,2.88,3.96
-1.640e-01,2.96,3.96
-1.600e-01,2.96,3.88
-1.560e-01,2.96,3.88
-1.520e-01,2.88,3.88
-1.480e-01,2.96,3.72
-1.440e-01,2.96,3.8
-1.400e-01,2.8,4.12
-1.360e-01,2.88,4.6
-1.320e-01,2.8,4.84
-1.280e-01,2.8,5.16
-1.240e-01,2.8,5.24
-1.200e-01,2.8,5.24
-1.160e-01,2.72,5.16
-1.120e-01,2.8,5.08
-1.080e-01,2.8,4.76
-1.040e-01,2.8,4.52
-1.000e-01,2.8,4.28
-9.600e-02,2.72,4.36
-9.200e-02,2.72,4.12
-8.800e-02,2.56,4.12
-8.400e-02,2.56,4.12
-8.000e-02,2.64,4.12
-7.600e-02,2.64,4.12
-7.200e-02,2.56,4.04
-6.800e-02,2.56,4.12
-6.400e-02,2.64,4.12
-6.000e-02,2.64,4.12
-5.600e-02,2.48,4.2
-5.200e-02,2.48,4.12
-4.800e-02,2.48,4.04
-4.400e-02,2.48,3.88
-4.000e-02,2.48,3.88
-3.600e-02,2.56,3.88
-3.200e-02,2.32,3.8
-2.800e-02,2.4,3.72
-2.400e-02,2.32,3.72
-2.000e-02,2.4,3.72
-1.600e-02,2.32,3.64
-1.200e-02,2.32,3.64
-8.000e-03,2.32,3.64
-4.000e-03,2.24,3.64
2.000e-15,2.24,3.64
4.000e-03,2.32,3.56
8.000e-03,2.24,3.56
1.200e-02,2.24,3.72
1.600e-02,2.16,3.8
2.000e-02,2.24,3.8
2.400e-02,2.16,3.8
2.800e-02,2.24,3.72
3.200e-02,2.16,3.72
3.600e-02,2.24,3.8
4.000e-02,2.16,3.64
4.400e-02,2,3.4
4.800e-02,2.08,3.4
5.200e-02,2,3.32
5.600e-02,2,3.24
6.000e-02,2,3.16
6.400e-02,2,3.08
6.800e-02,1.92,3.08
7.200e-02,1.92,3
7.600e-02,1.92,2.92
8.000e-02,1.92,2.84
