time	CH1	CH2
-3.62E-01	4.46594	1.49222
-3.60E-01	4.4775	1.48997
-3.58E-01	4.48625	1.48663
-3.56E-01	4.49688	1.48234
-3.54E-01	4.50687	1.47784
-3.52E-01	4.51562	1.4735
-3.50E-01	4.52594	1.46897
-3.48E-01	4.53656	1.46463
-3.46E-01	4.5475	1.45959
-3.44E-01	4.55906	1.45434
-3.42E-01	4.57	1.44884
-3.40E-01	4.57844	1.44356
-3.38E-01	4.58781	1.43778
-3.36E-01	4.59875	1.43181
-3.34E-01	4.60906	1.42597
-3.32E-01	4.62	1.42122
-3.30E-01	4.63063	1.41694
-3.28E-01	4.64062	1.41159
-3.26E-01	4.6525	1.40559
-3.24E-01	4.66125	1.39991
-3.22E-01	4.67188	1.39559
-3.20E-01	4.68187	1.39159
-3.18E-01	4.69125	1.38787
-3.16E-01	4.70375	1.38369
-3.14E-01	4.71687	1.38009
-3.12E-01	4.72656	1.37731
-3.10E-01	4.73656	1.37497
-3.08E-01	4.74656	1.37256
-3.06E-01	4.75594	1.36969
-3.04E-01	4.76313	1.36681
-3.02E-01	4.77531	1.36519
-3.00E-01	4.78719	1.36453
-2.98E-01	4.79406	1.36363
-2.96E-01	4.80656	1.36244
-2.94E-01	4.81906	1.36144
-2.92E-01	4.82969	1.36134
-2.90E-01	4.83844	1.36259
-2.88E-01	4.84938	1.36338
-2.86E-01	4.85875	1.36378
-2.84E-01	4.86688	1.36478
-2.82E-01	4.87469	1.36656
-2.80E-01	4.88656	1.36912
-2.78E-01	4.89813	1.37187
-2.76E-01	4.90906	1.37331
-2.74E-01	4.92156	1.37512
-2.72E-01	4.93156	1.37769
-2.70E-01	4.94	1.38144
-2.68E-01	4.94969	1.38453
-2.66E-01	4.96344	1.38781
-2.64E-01	4.97594	1.39144
-2.62E-01	4.98594	1.39494
-2.60E-01	4.99313	1.39991
-2.58E-01	5.0025	1.40428
-2.56E-01	5.01156	1.40787
-2.54E-01	5.01813	1.41237
-2.52E-01	5.02875	1.41734
-2.50E-01	5.03563	1.42287
-2.48E-01	5.0475	1.42731
-2.46E-01	5.05844	1.43125
-2.44E-01	5.06937	1.43509
-2.42E-01	5.07719	1.43981
-2.40E-01	5.085	1.4455
-2.38E-01	5.0925	1.44994
-2.36E-01	5.09969	1.45366
-2.34E-01	5.105	1.45716
-2.32E-01	5.11219	1.4615
-2.30E-01	5.11688	1.46663
-2.28E-01	5.12625	1.47141
-2.26E-01	5.13469	1.47491
-2.24E-01	5.14375	1.47784
-2.22E-01	5.15188	1.48141
-2.20E-01	5.1625	1.48531
-2.18E-01	5.17125	1.48819
-2.16E-01	5.18375	1.49066
-2.14E-01	5.19594	1.493
-2.12E-01	5.20781	1.49581
-2.10E-01	5.21469	1.49906
-2.08E-01	5.22469	1.50103
-2.06E-01	5.23656	1.5025
-2.04E-01	5.24656	1.50325
-2.02E-01	5.255	1.5045
-2.00E-01	5.26656	1.50638
-1.98E-01	5.27313	1.50709
-1.96E-01	5.28313	1.507
-1.94E-01	5.29312	1.50631
-1.92E-01	5.30625	1.50606
-1.90E-01	5.31406	1.50653
-1.88E-01	5.32437	1.50578
-1.86E-01	5.33375	1.50406
-1.84E-01	5.3475	1.50188
-1.82E-01	5.35688	1.49978
-1.80E-01	5.36719	1.49784
-1.78E-01	5.37625	1.49528
-1.76E-01	5.3875	1.49184
-1.74E-01	5.39813	1.48813
-1.72E-01	5.40844	1.48478
-1.70E-01	5.41688	1.48172
-1.68E-01	5.42625	1.47784
-1.66E-01	5.43938	1.47278
-1.64E-01	5.45188	1.46687
-1.62E-01	5.465	1.46197
-1.60E-01	5.47594	1.458
-1.58E-01	5.48438	1.45375
-1.56E-01	5.49406	1.44831
-1.54E-01	5.49875	1.44222
-1.52E-01	5.48781	1.43694
-1.50E-01	5.47844	1.43334
-1.48E-01	5.46719	1.43119
-1.46E-01	5.45594	1.42931
-1.44E-01	5.44344	1.42784
-1.42E-01	5.4325	1.42825
-1.40E-01	5.42156	1.42969
-1.38E-01	5.41281	1.43159
-1.36E-01	5.40062	1.43322
-1.34E-01	5.39031	1.43584
-1.32E-01	5.37938	1.43906
-1.30E-01	5.37	1.44378
-1.28E-01	5.36	1.44813
-1.26E-01	5.35094	1.45166
-1.24E-01	5.34219	1.45522
-1.22E-01	5.33125	1.45925
-1.20E-01	5.32031	1.46369
-1.18E-01	5.30875	1.46844
-1.16E-01	5.29938	1.47294
-1.14E-01	5.29094	1.47675
-1.12E-01	5.28	1.4805
-1.10E-01	5.27062	1.48506
-1.08E-01	5.25969	1.48866
-1.06E-01	5.24969	1.49116
-1.04E-01	5.24031	1.49388
-1.02E-01	5.23031	1.49659
-1.00E-01	5.21719	1.49962
-9.80E-02	5.20625	1.50219
-9.60E-02	5.19594	1.50328
-9.40E-02	5.18531	1.50422
-9.20E-02	5.17563	1.50547
-9.00E-02	5.16406	1.50722
-8.80E-02	5.15156	1.50803
-8.60E-02	5.1425	1.50778
-8.40E-02	5.13469	1.50678
-8.20E-02	5.12625	1.50625
-8.00E-02	5.11813	1.50594
-7.80E-02	5.11125	1.505
-7.60E-02	5.10562	1.50313
-7.40E-02	5.10094	1.50131
-7.20E-02	5.09406	1.49953
-7.00E-02	5.08812	1.49812
-6.80E-02	5.07844	1.49597
-6.60E-02	5.06937	1.49263
-6.40E-02	5.05938	1.48903
-6.20E-02	5.0475	1.48588
-6.00E-02	5.03719	1.48369
-5.80E-02	5.02813	1.48063
-5.60E-02	5.02125	1.47653
-5.40E-02	5.01156	1.47209
-5.20E-02	5.0025	1.46759
-5.00E-02	4.99156	1.46425
-4.80E-02	4.98062	1.46091
-4.60E-02	4.97187	1.45622
-4.40E-02	4.96188	1.45166
-4.20E-02	4.95125	1.44759
-4.00E-02	4.94156	1.44384
-3.80E-02	4.93031	1.43938
-3.60E-02	4.92063	1.43416
-3.40E-02	4.90969	1.42925
-3.20E-02	4.90125	1.42497
-3.00E-02	4.88969	1.42156
-2.80E-02	4.87656	1.41734
-2.60E-02	4.86719	1.41197
-2.40E-02	4.85688	1.40669
-2.20E-02	4.84531	1.40266
-2.00E-02	4.83531	1.39941
-1.80E-02	4.82531	1.39606
-1.60E-02	4.81594	1.39147
-1.40E-02	4.80625	1.38669
-1.20E-02	4.79625	1.38306
-1.00E-02	4.78563	1.38119
-8.00E-03	4.77594	1.379
-6.00E-03	4.76687	1.3755
-4.00E-03	4.75844	1.37272
-2.00E-03	4.74969	1.37059
1.00E-15	4.73781	1.36884
2.00E-03	4.72562	1.36734
4.00E-03	4.71375	1.36531
6.00E-03	4.70219	1.36316
8.00E-03	4.69156	1.36253
1.00E-02	4.68031	1.36281
1.20E-02	4.66719	1.36281
1.40E-02	4.65781	1.36253
1.60E-02	4.64844	1.36244
1.80E-02	4.63687	1.36322
2.00E-02	4.62437	1.36541
2.20E-02	4.61375	1.36728
2.40E-02	4.60406	1.36884
2.60E-02	4.59438	1.37059
2.80E-02	4.58563	1.37316
3.00E-02	4.57375	1.37644
3.20E-02	4.56313	1.37994
3.40E-02	4.55219	1.38288
3.60E-02	4.545	1.38541
3.80E-02	4.53594	1.3895
4.00E-02	4.52594	1.39431
4.20E-02	4.51313	1.39916
4.40E-02	4.50375	1.40309
4.60E-02	4.49313	1.40762
4.80E-02	4.48313	1.41347
5.00E-02	4.47187	1.42
5.20E-02	4.46219	1.42538
5.40E-02	4.45281	1.43025
5.60E-02	4.44406	1.43506
5.80E-02	4.43375	1.44097
6.00E-02	4.42406	1.44722
6.20E-02	4.41156	1.45309
6.40E-02	4.40188	1.45784
6.60E-02	4.39062	1.46181
6.80E-02	4.38094	1.46687
7.00E-02	4.36875	1.47294
7.20E-02	4.35875	1.47778
7.40E-02	4.34781	1.48172
7.60E-02	4.33812	1.48484
7.80E-02	4.32812	1.48834
8.00E-02	4.31562	1.49253
8.20E-02	4.305	1.49581
8.40E-02	4.29344	1.49822
8.60E-02	4.28094	1.50031
8.80E-02	4.27	1.50241
9.00E-02	4.2575	1.50516
9.20E-02	4.24656	1.50716
9.40E-02	4.23625	1.50787
9.60E-02	4.22813	1.50772
9.80E-02	4.21719	1.50778
1.00E-01	4.2075	1.50841
1.02E-01	4.19656	1.50862
1.04E-01	4.18438	1.50803
1.06E-01	4.175	1.50669
1.08E-01	4.16344	1.50559
1.10E-01	4.15156	1.50469
1.12E-01	4.13906	1.50328
1.14E-01	4.12906	1.50094
1.16E-01	4.11813	1.49831
1.18E-01	4.10719	1.49534
1.20E-01	4.09438	1.49331
1.22E-01	4.08031	1.49066
1.24E-01	4.07094	1.48716
1.26E-01	4.06281	1.48297
1.28E-01	4.05438	1.47931
1.30E-01	4.04188	1.47644
1.32E-01	4.03406	1.47256
1.34E-01	4.02406	1.46837
1.36E-01	4.01187	1.46331
1.38E-01	4.00375	1.45928
1.40E-01	3.9925	1.45578
1.42E-01	3.98375	1.4515
1.44E-01	3.975	1.4465
1.46E-01	3.9675	1.44138
1.48E-01	3.955	1.43619
1.50E-01	3.94313	1.43222
1.52E-01	3.9325	1.42837
1.54E-01	3.92094	1.42362
1.56E-01	3.90844	1.41834
1.58E-01	3.90063	1.41331
1.60E-01	3.8875	1.40903
1.62E-01	3.87562	1.40516
1.64E-01	3.86406	1.40041
1.66E-01	3.85406	1.39597
1.68E-01	3.84469	1.39178
1.70E-01	3.83219	1.38859
1.72E-01	3.82219	1.38547
1.74E-01	3.81344	1.38203
1.76E-01	3.80406	1.37878
1.78E-01	3.79188	1.37584
1.80E-01	3.78	1.37387
1.82E-01	3.77156	1.37169
1.84E-01	3.76375	1.36884
1.86E-01	3.75594	1.36572
1.88E-01	3.74344	1.36441
1.90E-01	3.73313	1.36363
1.92E-01	3.72406	1.36284
1.94E-01	3.71375	1.36181
1.96E-01	3.70375	1.36081
1.98E-01	3.69281	1.36075
2.00E-01	3.68344	1.36175
2.02E-01	3.67188	1.36281
2.04E-01	3.65938	1.36338
2.06E-01	3.65	1.36406
2.08E-01	3.63938	1.36587
2.10E-01	3.6275	1.36866
2.12E-01	3.61656	1.37141
2.14E-01	3.605	1.37397
2.16E-01	3.595	1.37659
2.18E-01	3.58656	1.37987
2.20E-01	3.57719	1.38369
2.22E-01	3.56594	1.38741
2.24E-01	3.55531	1.39159
2.26E-01	3.54344	1.39556
2.28E-01	3.53406	1.40022
2.30E-01	3.52563	1.40591
2.32E-01	3.51469	1.41206
2.34E-01	3.50406	1.41744
2.36E-01	3.49313	1.42194
2.38E-01	3.48438	1.42684
2.40E-01	3.47188	1.43253
2.42E-01	3.45875	1.43875
2.44E-01	3.45031	1.44425
2.46E-01	3.44094	1.449
2.48E-01	3.43	1.45459
2.50E-01	3.41625	1.46003
2.52E-01	3.40375	1.46519
2.54E-01	3.39406	1.47
2.56E-01	3.38563	1.47481
2.58E-01	3.37156	1.47903
2.60E-01	3.36063	1.48366
2.62E-01	3.34781	1.48788
2.64E-01	3.33688	1.49113
2.66E-01	3.32719	1.49419
2.68E-01	3.31594	1.49722
2.70E-01	3.30406	1.50072
2.72E-01	3.29469	1.50306
2.74E-01	3.28406	1.5045
2.76E-01	3.27438	1.50516
2.78E-01	3.26375	1.50684
2.80E-01	3.255	1.50834
2.82E-01	3.24344	1.50928
2.84E-01	3.23188	1.50919
2.86E-01	3.22031	1.50872
2.88E-01	3.20781	1.50825
2.90E-01	3.1975	1.50819
2.92E-01	3.18594	1.50772
2.94E-01	3.17406	1.50675
2.96E-01	3.16469	1.50475
2.98E-01	3.15625	1.50303
3.00E-01	3.14531	1.50194
3.02E-01	3.13531	1.50006
3.04E-01	3.12594	1.49722
3.06E-01	3.11656	1.49388
3.08E-01	3.10656	1.49075
3.10E-01	3.09563	1.48813
3.12E-01	3.08344	1.48553
3.14E-01	3.07469	1.48206
3.16E-01	3.06312	1.47791
3.18E-01	3.05219	1.47378
3.20E-01	3.04062	1.46991
3.22E-01	3.02937	1.46609
3.24E-01	3.01938	1.46197
3.26E-01	3.01	1.45738
3.28E-01	3.00094	1.45303
3.30E-01	2.99094	1.44969
3.32E-01	2.97969	1.44541
3.34E-01	2.97031	1.44006
3.36E-01	2.96188	1.43516
3.38E-01	2.95125	1.43025
3.40E-01	2.93875	1.42669
3.42E-01	2.92687	1.42316
3.44E-01	2.91594	1.41828
3.46E-01	2.9075	1.41291
3.48E-01	2.89438	1.40756
3.50E-01	2.88406	1.40419
3.52E-01	2.87344	1.40072
3.54E-01	2.86156	1.39675
3.56E-01	2.85094	1.39222
3.58E-01	2.84063	1.38841
3.60E-01	2.82906	1.38572
3.62E-01	2.81563	1.38334
3.64E-01	2.80406	1.38047
3.66E-01	2.79406	1.377
3.68E-01	2.78531	1.37409
3.70E-01	2.77469	1.37278
3.72E-01	2.76531	1.37122
3.74E-01	2.75531	1.36912
3.76E-01	2.74438	1.36697
3.78E-01	2.73469	1.36566
3.80E-01	2.72562	1.36578
3.82E-01	2.71375	1.36603
3.84E-01	2.70281	1.36534
3.86E-01	2.69219	1.36488
3.88E-01	2.68281	1.36566
3.90E-01	2.67031	1.36709
3.92E-01	2.65781	1.36916
3.94E-01	2.64562	1.37044
3.96E-01	2.63531	1.37194
3.98E-01	2.625	1.37397
4.00E-01	2.61344	1.37716
4.02E-01	2.60125	1.38047
4.04E-01	2.58969	1.38312
4.06E-01	2.58	1.38563
4.08E-01	2.57063	1.38975
4.10E-01	2.56219	1.39466
4.12E-01	2.55063	1.39938
4.14E-01	2.54219	1.40344
4.16E-01	2.53563	1.40794
4.18E-01	2.52719	1.41328
4.20E-01	2.51875	1.41931
4.22E-01	2.50781	1.42481
4.24E-01	2.49844	1.42988
4.26E-01	2.48844	1.43428
4.28E-01	2.48	1.44034
