CH1	CH2
4.16	0.77
4.16	0.79
4.08	0.85
4	0.85
4.08	0.85
4	0.87
4	0.87
3.92	0.93
4	0.91
3.92	0.93
3.92	0.95
4	0.95
3.92	0.97
3.92	0.97
3.92	0.99
3.84	0.99
3.84	1.01
3.76	1.01
3.84	1.01
3.84	1.03
3.76	1.03
3.76	1.03
3.76	1.03
3.68	1.03
3.6	1.05
3.68	1.05
3.6	1.05
3.68	1.05
3.6	1.09
3.6	1.05
3.52	1.09
3.6	1.07
3.52	1.07
3.52	1.09
3.44	1.11
3.52	1.09
3.52	1.09
3.36	1.13
3.44	1.13
3.44	1.09
3.36	1.11
3.36	1.09
3.36	1.11
3.36	1.09
3.36	1.09
3.36	1.13
3.2	1.07
3.28	1.07
3.28	1.07
3.2	1.09
3.28	1.07
3.2	1.05
3.12	1.03
3.12	0.99
3.04	1.01
3.12	1.01
3.12	0.97
3.04	0.97
3.04	0.97
3.04	0.95
3.04	0.91
3.04	0.87
2.96	0.87
3.04	0.87
2.96	0.85
2.88	0.83
2.96	0.79
3.04	0.81
2.8	0.77
2.88	0.77
2.8	0.73
2.8	0.73
2.8	0.69
2.88	0.67
2.8	0.65
2.72	0.65
2.72	0.65
2.72	0.63
2.64	0.61
2.64	0.59
2.72	0.55
2.72	0.55
2.64	0.53
2.56	0.53
2.64	0.51
2.56	0.49
2.48	0.47
2.48	0.45
2.48	0.45
2.48	0.45
2.48	0.43
2.48	0.41
2.48	0.41
2.48	0.39
2.48	0.39
2.4	0.37
2.4	0.35
2.4	0.35
2.32	0.31
2.32	0.31
2.4	0.29
2.24	0.29
2.24	0.29
2.32	0.29
2.24	0.25
2.32	0.25
2.24	0.27
2.16	0.25
2.24	0.23
2.16	0.23
2.16	0.23
2.08	0.21
2.16	0.23
2.16	0.23
2.08	0.21
2	0.21
2.08	0.21
1.84	0.21
2	0.21
2	0.23
2	0.21
1.92	0.23
1.84	0.23
1.92	0.25
1.84	0.25
1.84	0.23
1.92	0.23
1.84	0.25
1.76	0.27
1.84	0.27
1.76	0.29
1.68	0.29
1.76	0.29
1.76	0.33
1.68	0.31
1.68	0.33
1.6	0.33
1.52	0.35
1.6	0.35
1.52	0.37
1.6	0.39
1.6	0.41
1.52	0.43
1.52	0.47
1.52	0.47
1.44	0.49
1.44	0.53
1.36	0.53
1.44	0.55
1.44	0.57
1.44	0.59
1.36	0.63
1.36	0.61
1.36	0.65
1.36	0.67
1.36	0.67
1.36	0.71
1.36	0.73
1.36	0.73
1.2	0.77
1.28	0.79
1.28	0.79
1.12	0.79
1.2	0.83
1.12	0.83
1.2	0.85
1.04	0.87
1.04	0.87
1.12	0.91
1.04	0.89
1.12	0.91
1.04	0.91
0.96	0.95
0.96	0.95
0.96	0.93
0.88	0.97
0.96	0.97
0.88	0.99
0.88	0.97
0.88	0.99
0.88	1.01
0.8	1.01
0.8	1.01
0.8	1.03
0.8	1.03
0.72	1.05
0.72	1.07
0.8	1.09
0.72	1.09
0.72	1.09
0.64	1.11
0.72	1.09
0.64	1.11
0.56	1.13
0.64	1.17
0.56	1.13
0.56	1.13
0.64	1.15
0.56	1.15
0.4	1.13
0.32	1.17
0.48	1.13
0.48	1.13
0.48	1.11
0.48	1.11
0.48	1.11
0.4	1.09
0.32	1.09
0.4	1.05
0.32	1.05
0.24	1.03
0.32	0.99
0.32	1.03
0.24	0.99
0.32	0.99
0.24	0.99
0.24	0.97
0.16	0.97
0.16	0.95
0.24	0.91
0.08	0.93
0.08	0.91
0.16	0.87
0.08	0.85
0.08	0.85
0	0.85
0.08	0.81
0.08	0.85
0	0.83
0	0.81
0	0.79
0	0.79
0	0.79
-0.08	0.77
0	0.81
0	0.77
0.08	0.77
0	0.77
0.08	0.75
0.08	0.77
0.16	0.77
0.08	0.77
0.24	0.77
0.16	0.73
0.16	0.77
0.24	0.83
0.16	0.85
0.32	0.87
0.32	0.89
0.24	0.91
0.32	0.93
0.4	0.93
0.32	0.95
0.32	0.97
0.32	0.97
0.4	0.99
0.48	1.01
0.4	1.03
0.4	1.03
0.4	1.03
0.48	1.07
0.48	1.07
0.48	1.09
0.48	1.09
0.56	1.11
0.48	1.11
0.48	1.11
0.56	1.13
0.56	1.13
0.64	1.17
0.64	1.13
0.72	1.15
0.72	1.15
0.72	1.15
0.56	1.15
0.72	1.17
0.72	1.11
0.72	1.13
0.72	1.13
0.72	1.11
0.8	1.11
0.88	1.09
0.96	1.07
0.96	1.07
0.88	1.05
0.88	1.03
0.88	1.03
0.88	1.01
0.96	1.01
0.96	0.99
0.96	0.99
1.12	0.97
0.96	0.97
1.04	0.97
1.04	0.97
1.04	0.95
1.12	0.95
1.12	0.93
1.2	0.91
1.12	0.91
1.12	0.89
1.12	0.87
1.2	0.87
1.2	0.85
1.12	0.85
1.28	0.85
1.28	0.79
1.28	0.81
1.36	0.79
1.36	0.77
1.28	0.75
1.36	0.73
1.36	0.71
1.36	0.71
1.36	0.67
1.44	0.67
1.44	0.65
1.44	0.63
1.52	0.61
1.52	0.59
1.44	0.59
1.52	0.53
1.6	0.53
