Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,REF1
-9.600e-02,4.67969
-9.200e-02,4.68844
-8.800e-02,4.70063
-8.400e-02,4.71063
-8.000e-02,4.7225
-7.600e-02,4.7325
-7.200e-02,4.74281
-6.800e-02,4.75281
-6.400e-02,4.76125
-6.000e-02,4.77062
-5.600e-02,4.78156
-5.200e-02,4.78937
-4.800e-02,4.8
-4.400e-02,4.81031
-4.000e-02,4.81969
-3.600e-02,4.83125
-3.200e-02,4.83969
-2.800e-02,4.84938
-2.400e-02,4.85938
-2.000e-02,4.87
-1.600e-02,4.88031
-1.200e-02,4.89062
-8.000e-03,4.90188
-4.000e-03,4.91063
2.000e-15,4.9225
4.000e-03,4.93469
8.000e-03,4.9425
1.200e-02,4.955
1.600e-02,4.96375
2.000e-02,4.97344
2.400e-02,4.98469
2.800e-02,4.99156
3.200e-02,5.00219
3.600e-02,5.01094
4.000e-02,5.02094
4.400e-02,5.03125
4.800e-02,5.04031
5.200e-02,5.05156
5.600e-02,5.06
6.000e-02,5.06937
6.400e-02,5.07844
6.800e-02,5.08781
7.200e-02,5.09438
7.600e-02,5.10125
8.000e-02,5.1075
8.400e-02,5.11188
8.800e-02,5.11531
9.200e-02,5.12469
9.600e-02,5.13375
1.000e-01,5.1425
1.040e-01,5.15313
1.080e-01,5.16094
1.120e-01,5.17125
1.160e-01,5.18187
1.200e-01,5.19375
1.240e-01,5.20594
1.280e-01,5.21469
1.320e-01,5.22625
1.360e-01,5.23625
1.400e-01,5.245
1.440e-01,5.25844
1.480e-01,5.26906
1.520e-01,5.27937
1.560e-01,5.28781
1.600e-01,5.29938
1.640e-01,5.31031
1.680e-01,5.31969
1.720e-01,5.33063
1.760e-01,5.34125
1.800e-01,5.35
1.840e-01,5.3625
1.880e-01,5.3725
1.920e-01,5.38344
1.960e-01,5.39438
2.000e-01,5.40437
2.040e-01,5.41531
2.080e-01,5.42531
2.120e-01,5.43719
2.160e-01,5.44625
2.200e-01,5.45656
2.240e-01,5.46531
2.280e-01,5.47656
2.320e-01,5.48937
2.360e-01,5.50063
2.400e-01,5.49563
2.440e-01,5.48438
2.480e-01,5.47187
2.520e-01,5.45906
2.560e-01,5.44625
2.600e-01,5.43531
2.640e-01,5.42563
2.680e-01,5.41531
2.720e-01,5.40219
2.760e-01,5.39281
2.800e-01,5.38281
2.840e-01,5.3725
2.880e-01,5.36031
2.920e-01,5.35
2.960e-01,5.33906
3.000e-01,5.32969
3.040e-01,5.31875
3.080e-01,5.30938
3.120e-01,5.30187
3.160e-01,5.2925
3.200e-01,5.2825
3.240e-01,5.27313
3.280e-01,5.26125
3.320e-01,5.25344
3.360e-01,5.24406
3.400e-01,5.2325
3.440e-01,5.22156
3.480e-01,5.2075
3.520e-01,5.19844
3.560e-01,5.19
3.600e-01,5.18125
3.640e-01,5.16969
3.680e-01,5.15781
3.720e-01,5.15156
3.760e-01,5.14094
3.800e-01,5.13219
3.840e-01,5.12531
3.880e-01,5.11531
3.920e-01,5.11062
3.960e-01,5.10406
4.000e-01,5.0975
4.040e-01,5.09125
4.080e-01,5.08156
4.120e-01,5.0725
4.160e-01,5.05938
4.200e-01,5.04906
4.240e-01,5.03812
4.280e-01,5.02969
4.320e-01,5.02281
4.360e-01,5.0125
4.400e-01,5.00156
4.440e-01,4.9925
4.480e-01,4.98156
4.520e-01,4.96969
4.560e-01,4.96063
4.600e-01,4.94969
4.640e-01,4.93938
4.680e-01,4.92844
4.720e-01,4.91688
4.760e-01,4.9075
4.800e-01,4.89438
4.840e-01,4.88406
4.880e-01,4.87406
4.920e-01,4.86406
4.960e-01,4.85469
5.000e-01,4.84594
5.040e-01,4.83812
5.080e-01,4.82594
5.120e-01,4.8175
5.160e-01,4.80563
5.200e-01,4.79312
5.240e-01,4.78625
5.280e-01,4.77594
5.320e-01,4.76906
5.360e-01,4.76
5.400e-01,4.7475
5.440e-01,4.73875
5.480e-01,4.72719
5.520e-01,4.71687
5.560e-01,4.70437
